dish_code,menu,recipe,tech_card,costing,channel_economics,semi_finished,allergen_safety,chef_questions,control_cook_form,chef_approval,evidence_cogs,safety_status,overall
VKM-011,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-012,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-013,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-014,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-015,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-016,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-017,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-018,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-019,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-020,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-021,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-022,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-023,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-024,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-025,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-026,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,NOT_PRODUCTION_RELEASED,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-027,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,NOT_PRODUCTION_RELEASED,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-028,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,NOT_PRODUCTION_RELEASED,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-029,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-030,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
VKM-031,PRESENT,PRESENT_DRAFT,PRESENT_DRAFT,MODEL_LAYER_PRESENT,PRESENT,PRESENT_OR_EXPLICIT_PENDING_CONFIRMATION,PRESENT_BLOCKED,PRESENT,PRESENT,NOT_APPROVED,NOT_COMPLETE,BLOCK,READY_FOR_CHEF_REVIEW_SUBJECT_EVIDENCE_OPEN
