vsf_code,semi_finished_name,recipe_version,canonical_batch_variant_id,batch_variant_count,batch_basis,batch_gross_qty,batch_net_qty,projected_batch_output,output_unit,linked_dish_codes,child_vsf_codes,reuse_candidate,card_status,parameter_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,safety_status,safety_blocker_ids,next_action,cost_per_output_rule,double_counting_rule,record_type,make_or_buy_status,graph_link_status
VSF-011,Картофель запечённый для закуски,0.1.0-DRAFT,VSF-011@VKM-023,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",185,165,150,г,VKM-014;VKM-023,null,Да,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted; production recipe sourced from VKM-023 and mapped to VKM-014 consumption; special mapping is documented in SEMI_FINISHED_MAPPING.csv,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-012,Маринад оливок,0.1.0-DRAFT,VSF-012@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",22.3,20,20,г,VKM-015,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-013,Быстрый маринад для солений,0.1.0-DRAFT,VSF-013@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",20,20,20,г,VKM-016,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted; special mapping is documented in SEMI_FINISHED_MAPPING.csv,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-014,Ассорти быстрых солений,0.1.0-DRAFT,VSF-014@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",206,185,180,г,VKM-016,VSF-013,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted; VSF-013 is a nested child and is excluded from direct dish costing; special mapping is documented in SEMI_FINISHED_MAPPING.csv,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-015,Гренка,0.1.0-DRAFT,VSF-015@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",37,35,33,г,VKM-017,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-016,Соус к ростбифу,0.1.0-DRAFT,VSF-016@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",15,15,15,г,VKM-017,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-017,Бульон мясной,0.1.0-DRAFT,VSF-017@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",160,160,145,г,VKM-018,null,Да,BLOCKED_PENDING_VALIDATION,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,"Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted; source is an undecomposed prepared input, not a complete production formula",2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011;GAP-SF-002,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-018,Пассеровка свекольная,0.1.0-DRAFT,VSF-018@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",131,119,105,г,VKM-018,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-019,Соус сливочно-горчичный,0.1.0-DRAFT,VSF-019@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",90,90,85,г,VKM-019,null,Возможно,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-020,Соус кокосовый тайский,0.1.0-DRAFT,VSF-020@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",129,129,120,г,VKM-020,null,Возможно,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-021,Котлета для бургера,0.1.0-DRAFT,VSF-021@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",180,170,150,г,VKM-021,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-022,Соус для бургера,0.1.0-DRAFT,VSF-022@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",25,25,25,г,VKM-021,null,Возможно,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-023,Миньоны порционные,0.1.0-DRAFT,VSF-023@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",255,240,220,г,VKM-022,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-024,Соус к миньонам,0.1.0-DRAFT,VSF-024@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",45,45,40,г,VKM-022,null,Возможно,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-025,Рис жасмин варёный,0.1.0-DRAFT,VSF-025@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",175,175,138,г,VKM-024,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-026,Овощная смесь подготовленная,0.1.0-DRAFT,VSF-026@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",157,142,130,г,VKM-025,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-027,Бисквит черничного торта,0.1.0-DRAFT,VSF-027@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",622,622,607,г,VKM-029,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
VSF-028,Черничный крем,0.1.0-DRAFT,VSF-028@BASE,1,"Chef draft source portion/batch; canonical is architecture reference, not approved production batch",730,715,700,г,VKM-029,null,Нет,DRAFT_WITH_ASSUMPTIONS,ASSUMPTION,EVD-0009;EVD-0007;EVD-0008,Draft batch reconstructed only from Chef HOF-0002 quantities; factual yield not asserted,2026-08-03,Chef / SemiFinishedProductsAgent,GAP-006;GAP-010;GAP-011,BLOCKED_PENDING_VALIDATION,GAP-010;GAP-011,"Chef freezes batch formula/output and variant decision; control cook weighs inputs, loss and output; FoodSafetyAgent re-reviews process and limits",For the mapping-selected variant: SUM(raw extended costs + child VSF quantity × accepted child cost/output) / projected batch output; factual costing waits for accepted prices and output,"At each parent include either CHILD_VSF cost or that child's raw lines, never both; top-level dish excludes flattened lines reassigned to a VSF",REAL_VSF_CANDIDATE,UNRESOLVED,SOURCE_DAG_CONTROLLED
