menu_record_id,dish_code,menu_section,dish_name,sales_channels,production_sales_unit,draft_target_output,cost_card_code,tech_card_code,recipe_version,recipe_status,calculation_layer_status,chef_status,safety_status,source
MNU-011,VKM-011,Салаты,Греческий,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 порция,270 г,VKC-011,VKT-011,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-012,VKM-012,Салаты,Винегрет,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 порция,240 г,VKC-012,VKT-012,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-013,VKM-013,Холодные закуски,Слабосолёный лосось,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,130 г,VKC-013,VKT-013,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-014,VKM-014,Холодные закуски,Сельдь с запечённым картофелем,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,250 г,VKC-014,VKT-014,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-015,VKM-015,Холодные закуски,Оливки и маслины,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,120 г,VKC-015,VKT-015,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-016,VKM-016,Холодные закуски,Ассорти фирменных солений,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,180 г,VKC-016,VKT-016,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-017,VKM-017,Холодные закуски,Ростбиф с луком и гренкой,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,180 г,VKC-017,VKT-017,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-018,VKM-018,Супы,Традиционный красный борщ,À la carte; Бизнес-ланч,1 гостевая подача,400 г,VKC-018,VKT-018,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-019,VKM-019,Горячие блюда,Мурманская треска со сливочно-горчичным соусом,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 порция,300 г,VKC-019,VKT-019,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-020,VKM-020,Горячие блюда,Креветки по-тайски,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 порция,360 г,VKC-020,VKT-020,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-021,VKM-021,Горячие блюда,Бургер VARSHAVKA,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,1 бургер,350 г,VKC-021,VKT-021,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-022,VKM-022,Горячие блюда,Миньоны из говяжьей вырезки,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,"1 порция, 2 миньона",300 г,VKC-022,VKT-022,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-023,VKM-023,Гарниры,Запечённый картофель,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,150 г,VKC-023,VKT-023,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-024,VKM-024,Гарниры,Рис жасмин,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,150 г,VKC-024,VKT-024,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-025,VKM-025,Гарниры,Горячие овощи,À la carte; Бизнес-ланч; Гостиничные ужины,1 порция,150 г,VKC-025,VKT-025,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-026,VKM-026,Гостиничные завтраки,"Яичница, круассан и сыр двух видов",Гостиница — завтраки,1 закрытый комплекс,225 г + напиток 200 мл,VKC-026,VKT-026,S04-v3.0.0,S04_MODEL_RECIPE_PRELIMINARY,POPULATED_S04_MODEL,NOT_APPROVED,NOT_PRODUCTION_RELEASED,PR81 historical checkpoint
MNU-027,VKM-027,Гостиничные завтраки,"Омлет, круассан и сыр двух видов",Гостиница — завтраки,1 закрытый комплекс,265 г + напиток 200 мл,VKC-027,VKT-027,S04-v3.0.0,S04_MODEL_RECIPE_PRELIMINARY,POPULATED_S04_MODEL,NOT_APPROVED,NOT_PRODUCTION_RELEASED,PR81 historical checkpoint
MNU-028,VKM-028,Гостиничные завтраки,"Овсяная каша, круассан и сыр двух видов",Гостиница — завтраки,1 закрытый комплекс,355 г + напиток 200 мл,VKC-028,VKT-028,S04-v3.0.0,S04_MODEL_RECIPE_PRELIMINARY,POPULATED_S04_MODEL,NOT_APPROVED,NOT_PRODUCTION_RELEASED,PR81 historical checkpoint
MNU-029,VKM-029,Десерты,Черничный торт VARSHAVKA,À la carte; Навынос,1 торт / 12 порций,1800 г,VKC-029,VKT-029,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-030,VKM-030,Десерты,Кростата с солёной карамелью,À la carte; Гостиничные ужины; Навынос,1 кростата / 10 порций,1200 г,VKC-030,VKT-030,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
MNU-031,VKM-031,Десерты,Мадлен,À la carte; Навынос,партия 20 шт. / продажа 2 шт.,600 г,VKC-031,VKT-031,0.1.0-DRAFT,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_APPROVED,BLOCK,main
