tableware_set_code,dish_code,dish_name,menu_section,candidate_service_set,historical_candidate_skus,linked_capex_function_codes,delivery_takeaway_packaging,pieces_per_service,turnover_factor,start_quantity,warehouse_breakage_reserve,start_quantity_formula,service_status,quantity_status,stock_verification_status,parameter_status,evidence_ids,blocker_ids,source_date,confirmation_owner,next_action
TWS-018,VKM-018,Традиционный красный борщ,Супы,Тарелка глубокая 400 мл; ложка столовая; подстановочная тарелка по решению сервиса,03010981;03110167,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-019,VKM-019,Мурманская треска со сливочно-горчичным соусом,Горячие блюда,Тарелка D=260 мм; вилка; нож или ложка по характеру блюда,03011857;03112213;03114123;03110167,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-020,VKM-020,Креветки по-тайски,Горячие блюда,Тарелка D=260 мм; вилка; нож или ложка по характеру блюда,03011857;03112213;03114123;03110167,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-021,VKM-021,Бургер VARSHAVKA,Горячие блюда,Тарелка D=260 мм; вилка; нож или ложка по характеру блюда,03011857;03112213;03114123;03110167,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-022,VKM-022,Миньоны из говяжьей вырезки,Горячие блюда,Тарелка D=260 мм; вилка; нож или ложка по характеру блюда,03011857;03112213;03114123;03110167,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-023,VKM-023,Запечённый картофель,Гарниры,Тарелка D=260 мм; вилка; нож или ложка по характеру блюда,03011857;03112213;03114123;03110167,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-024,VKM-024,Рис жасмин,Гарниры,Тарелка D=260 мм; вилка; нож или ложка по характеру блюда,03011857;03112213;03114123;03110167,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-025,VKM-025,Горячие овощи,Гарниры,Тарелка D=260 мм; вилка; нож или ложка по характеру блюда,03011857;03112213;03114123;03110167,TBL-01;TBL-05,Не определено применимостью канала,,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-026,VKM-029,Черничный торт VARSHAVKA,Десерты,Тарелка D=175 мм или D=230 мм; десертная вилка/ложка — отдельный SKU не подтверждён,03010413;03011456,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-027,VKM-030,Кростата с солёной карамелью,Десерты,Тарелка D=175 мм или D=230 мм; десертная вилка/ложка — отдельный SKU не подтверждён,03010413;03011456,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-028,VKM-031,Мадлен,Десерты,Тарелка D=175 мм или D=230 мм; десертная вилка/ложка — отдельный SKU не подтверждён,03010413;03011456,TBL-01;TBL-05,"Тип, размер, герметичность и SKU упаковки не подтверждены",,,,,CEILING(approved_peak_simultaneous_services / approved_turnover_factor × (1 + approved_breakage_reserve)),DRAFT,BLOCKED,BLOCKED,ESTIMATE,EVD-0026,GAP-022;V-I-083;V-I-118,2026-08-03,Operations / Owner / Investment Center,"Approve plating/serving set per dish, test fit/handling, count stock, calculate turnover and 10% reserve without double counting"
TWS-BF-026,VKM-026,"Яичница, круассан и сыр двух видов",Гостиничные завтраки,Тарелка/миска по решению Chef; приборы; чашка 200 мл,,,NOT_APPLICABLE_OR_UNCONFIRMED,,,,,,DRAFT,BLOCKED,BLOCKED,DRAFT,,CHEF_DECISION;STOCK_CHECK,2026-08-04,Chef / Operations,Approve service set and verify stock
TWS-BF-027,VKM-027,"Омлет, круассан и сыр двух видов",Гостиничные завтраки,Тарелка/миска по решению Chef; приборы; чашка 200 мл,,,NOT_APPLICABLE_OR_UNCONFIRMED,,,,,,DRAFT,BLOCKED,BLOCKED,DRAFT,,CHEF_DECISION;STOCK_CHECK,2026-08-04,Chef / Operations,Approve service set and verify stock
TWS-BF-028,VKM-028,"Овсяная каша, круассан и сыр двух видов",Гостиничные завтраки,Тарелка/миска по решению Chef; приборы; чашка 200 мл,,,NOT_APPLICABLE_OR_UNCONFIRMED,,,,,,DRAFT,BLOCKED,BLOCKED,DRAFT,,CHEF_DECISION;STOCK_CHECK,2026-08-04,Chef / Operations,Approve service set and verify stock
