inventory_set_code,dish_code,dish_name,menu_section,candidate_inventory,linked_function_codes,required_quantity,quantity_unit,quantity_status,wash_dry_flow,cross_contact_note,parameter_status,evidence_ids,blocker_ids,source_date,confirmation_owner,next_action
INVSET-011,VKM-011,Греческий,Салаты,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-012,VKM-012,Винегрет,Салаты,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-013,VKM-013,Слабосолёный лосось,Холодные закуски,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-014,VKM-014,Сельдь с запечённым картофелем,Холодные закуски,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-015,VKM-015,Оливки и маслины,Холодные закуски,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-016,VKM-016,Ассорти фирменных солений,Холодные закуски,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-017,VKM-017,Ростбиф с луком и гренкой,Холодные закуски,Весы; маркированные ножи и доски; GN с крышками; миски; щипцы/ложки; гастроёмкости,CLD-06;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-018,VKM-018,Традиционный красный борщ,Супы,Весы; маркированные ножи и доски; кастрюли; сотейник; половник; GN; термощуп после утверждения ППК,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-019,VKM-019,Мурманская треска со сливочно-горчичным соусом,Горячие блюда,Весы; маркированные ножи и доски; щипцы; сковороды/ёмкости GN; сотейник; лопатка; термощуп после утверждения ППК,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-020,VKM-020,Креветки по-тайски,Горячие блюда,Весы; маркированные ножи и доски; щипцы; сковороды/ёмкости GN; сотейник; лопатка; термощуп после утверждения ППК,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-021,VKM-021,Бургер VARSHAVKA,Горячие блюда,Весы; маркированные ножи и доски; щипцы; сковороды/ёмкости GN; сотейник; лопатка; термощуп после утверждения ППК,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-022,VKM-022,Миньоны из говяжьей вырезки,Горячие блюда,Весы; маркированные ножи и доски; щипцы; сковороды/ёмкости GN; сотейник; лопатка; термощуп после утверждения ППК,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-023,VKM-023,Запечённый картофель,Гарниры,Весы; ножи и доски; GN/противни; кастрюля/чаша; лопатка/ложка; порционный инвентарь,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-024,VKM-024,Рис жасмин,Гарниры,Весы; ножи и доски; GN/противни; кастрюля/чаша; лопатка/ложка; порционный инвентарь,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-025,VKM-025,Горячие овощи,Гарниры,Весы; ножи и доски; GN/противни; кастрюля/чаша; лопатка/ложка; порционный инвентарь,HOT-13;CLD-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-026,VKM-029,Черничный торт VARSHAVKA,Десерты,Весы; дежа; венчик/лопатка; формы; противни; решётки; шпатели; нож порционный,BAK-04;BAK-06;BAK-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-027,VKM-030,Кростата с солёной карамелью,Десерты,Весы; дежа; венчик/лопатка; формы; противни; решётки; шпатели; нож порционный,BAK-04;BAK-06;BAK-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-028,VKM-031,Мадлен,Десерты,Весы; дежа; венчик/лопатка; формы; противни; решётки; шпатели; нож порционный,BAK-04;BAK-06;BAK-07;WSH-07;WSH-08,,,BLOCKED,WSH-07;WSH-08,Dedicated/color-coded assignment and changeover remain subject to HOF-0012 safety re-review,ESTIMATE,EVD-0025;EVD-FS-003;EVD-FS-004,GAP-009;GAP-021,2026-08-03,Operations / Procurement / FoodSafetyAgent,Chef/Operations approve item specification and quantity; Procurement confirms stock/SKU; Food Safety confirms segregation and cleaning
INVSET-BF-026,VKM-026,"Яичница, круассан и сыр двух видов",Гостиничные завтраки,Гастроёмкости/формы; весы; термощуп; таймер; маркировка,,,,BLOCKED,REQUIRES_SITE_FLOW_CONFIRMATION,Dedicated/color-coded assignment requires hazard analysis,DRAFT,,CHEF_DECISION;SITE_FLOW;CROSS_CONTACT,2026-08-04,Chef / Operations / FoodSafetyAgent,Confirm set and quantity by control cook
INVSET-BF-027,VKM-027,"Омлет, круассан и сыр двух видов",Гостиничные завтраки,Гастроёмкости/формы; весы; термощуп; таймер; маркировка,,,,BLOCKED,REQUIRES_SITE_FLOW_CONFIRMATION,Dedicated/color-coded assignment requires hazard analysis,DRAFT,,CHEF_DECISION;SITE_FLOW;CROSS_CONTACT,2026-08-04,Chef / Operations / FoodSafetyAgent,Confirm set and quantity by control cook
INVSET-BF-028,VKM-028,"Овсяная каша, круассан и сыр двух видов",Гостиничные завтраки,Гастроёмкости/формы; весы; термощуп; таймер; маркировка,,,,BLOCKED,REQUIRES_SITE_FLOW_CONFIRMATION,Dedicated/color-coded assignment requires hazard analysis,DRAFT,,CHEF_DECISION;SITE_FLOW;CROSS_CONTACT,2026-08-04,Chef / Operations / FoodSafetyAgent,Confirm set and quantity by control cook
