recipe_line_id,dish_code,cost_card_code,tech_card_code,recipe_version,ingredient_id,ingredient_name,component_type,production_stage,semi_finished_candidate_code,gross_qty,gross_unit,net_qty,net_unit,projected_output_contribution,output_unit,projected_preparation_loss,projected_process_loss,parameter_status,evidence_ids,calculation_method,source_date,confirmation_owner,blocker_ids,validation_note
RCP-0015,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-002,Вода питьевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,85,г,85,г,70,г,0,15,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0016,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-003,Дрожжи хлебопекарные,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,2,г,2,г,2,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0017,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-004,Соль пищевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,3,г,3,г,3,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0018,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,15,г,15,г,15,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0019,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-006,Томаты протёртые,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,45,г,45,г,42,г,0,3,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0020,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-007,Чеснок,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,2.2,г,2,г,2,г,0.2,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0021,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-008,Орегано,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,1,г,1,г,1,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0022,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,5,г,5,г,5,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0023,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-009,Моцарелла,RAW_OR_FLATTENED_COMPONENT,Сборка,,90,г,90,г,90,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0024,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-012,Горгонзола,RAW_OR_FLATTENED_COMPONENT,Сборка,,45,г,45,г,45,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0025,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-010,Пармезан,RAW_OR_FLATTENED_COMPONENT,Сборка,,35,г,35,г,35,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0026,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-013,Фонтина или иной четвёртый сыр,RAW_OR_FLATTENED_COMPONENT,Сборка,,30,г,30,г,30,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0027,VKM-002,VKC-002,VKT-002,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Финиш,,10,г,10,г,10,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0028,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-001,Мука пшеничная хлебопекарная,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,140,г,140,г,130,г,0,10,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0029,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-002,Вода питьевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,85,г,85,г,70,г,0,15,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0030,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-003,Дрожжи хлебопекарные,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,2,г,2,г,2,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0031,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-004,Соль пищевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,3,г,3,г,3,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0032,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,15,г,15,г,15,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0033,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-006,Томаты протёртые,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,63,г,63,г,60,г,0,3,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0034,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-007,Чеснок,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,2.2,г,2,г,2,г,0.2,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0035,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-008,Орегано,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,1,г,1,г,1,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0036,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,7,г,7,г,7,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0037,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-009,Моцарелла,RAW_OR_FLATTENED_COMPONENT,Сборка,,90,г,90,г,90,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0038,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-014,Ветчина,RAW_OR_FLATTENED_COMPONENT,Сборка,,60,г,60,г,60,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0039,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-015,Шампиньоны,RAW_OR_FLATTENED_COMPONENT,Сборка,,50,г,48,г,45,г,2,3,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0040,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-016,Лук репчатый,RAW_OR_FLATTENED_COMPONENT,Сборка,,12,г,10,г,10,г,2,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0041,VKM-003,VKC-003,VKT-003,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Финиш,,5,г,5,г,5,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0042,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-001,Мука пшеничная хлебопекарная,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,140,г,140,г,130,г,0,10,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0043,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-002,Вода питьевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,85,г,85,г,70,г,0,15,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0044,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-003,Дрожжи хлебопекарные,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,2,г,2,г,2,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0045,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-004,Соль пищевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,3,г,3,г,3,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0046,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-001,15,г,15,г,15,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0047,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-006,Томаты протёртые,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,63,г,63,г,60,г,0,3,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0048,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-007,Чеснок,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,2.2,г,2,г,2,г,0.2,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0049,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-008,Орегано,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,1,г,1,г,1,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0050,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Соус,VSF-002,7,г,7,г,7,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0051,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-009,Моцарелла,RAW_OR_FLATTENED_COMPONENT,Сборка,,110,г,110,г,110,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0052,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-017,Пепперони,RAW_OR_FLATTENED_COMPONENT,Сборка,,90,г,90,г,90,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0053,VKM-004,VKC-004,VKT-004,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Финиш,,10,г,10,г,10,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0054,VKM-005,VKC-005,VKT-005,0.1.0-DRAFT,ING-001,Мука пшеничная хлебопекарная,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-003,60,г,60,г,55,г,0,5,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0055,VKM-005,VKC-005,VKT-005,0.1.0-DRAFT,ING-002,Вода питьевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-003,40,г,40,г,34,г,0,6,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0056,VKM-005,VKC-005,VKT-005,0.1.0-DRAFT,ING-003,Дрожжи хлебопекарные,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-003,1,г,1,г,1,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0057,VKM-005,VKC-005,VKT-005,0.1.0-DRAFT,ING-004,Соль пищевая,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-003,2,г,2,г,2,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0058,VKM-005,VKC-005,VKT-005,0.1.0-DRAFT,ING-005,Масло оливковое,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-003,8,г,8,г,8,г,0,0,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
RCP-0059,VKM-006,VKC-006,VKT-006,0.1.0-DRAFT,ING-001,Мука пшеничная хлебопекарная,RAW_OR_FLATTENED_COMPONENT,Тесто,VSF-004,55,г,55,г,50,г,0,5,ASSUMPTION,EVD-0007;EVD-0008,Проектная декомпозиция ChefTechnologyAgent; суммы contribution нормированы к draft-выходу EVD-0005; проверить взвешиванием,2026-08-03,Chef,GAP-004;GAP-005,Не является утверждённой нормой; gross/net/output зафиксировать в контрольной серии
