question_id,dish_code,dish_name,question_type,question,question_status,answer_owner,impact,evidence_ids,blocker_ids,raised_date,checkpoint,answer,answer_date
CQ-0011,VKM-003,Грибная с ветчиной,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0012,VKM-003,Грибная с ветчиной,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0013,VKM-003,Грибная с ветчиной,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0014,VKM-003,Грибная с ветчиной,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0015,VKM-003,Грибная с ветчиной,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0016,VKM-004,Пепперони,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0017,VKM-004,Пепперони,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0018,VKM-004,Пепперони,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0019,VKM-004,Пепперони,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0020,VKM-004,Пепперони,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0021,VKM-005,Белая чиабатта,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0022,VKM-005,Белая чиабатта,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0023,VKM-005,Белая чиабатта,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0024,VKM-005,Белая чиабатта,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0025,VKM-005,Белая чиабатта,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0026,VKM-006,Томатная чиабатта,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0027,VKM-006,Томатная чиабатта,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0028,VKM-006,Томатная чиабатта,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0029,VKM-006,Томатная чиабатта,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0030,VKM-006,Томатная чиабатта,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0031,VKM-007,Бородинский хлеб,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0032,VKM-007,Бородинский хлеб,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0033,VKM-007,Бородинский хлеб,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0034,VKM-007,Бородинский хлеб,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0035,VKM-007,Бородинский хлеб,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0036,VKM-008,Бриошь,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0037,VKM-008,Бриошь,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0038,VKM-008,Бриошь,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0039,VKM-008,Бриошь,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0040,VKM-008,Бриошь,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0041,VKM-009,Буррата с томатами,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0042,VKM-009,Буррата с томатами,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0043,VKM-009,Буррата с томатами,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0044,VKM-009,Буррата с томатами,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0045,VKM-009,Буррата с томатами,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0046,VKM-010,Микс-салат с креветками и яблоком,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0047,VKM-010,Микс-салат с креветками и яблоком,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0048,VKM-010,Микс-салат с креветками и яблоком,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0049,VKM-010,Микс-салат с креветками и яблоком,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0050,VKM-010,Микс-салат с креветками и яблоком,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0051,VKM-011,Греческий,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0052,VKM-011,Греческий,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0053,VKM-011,Греческий,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0054,VKM-011,Греческий,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0055,VKM-011,Греческий,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0056,VKM-012,Винегрет,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0057,VKM-012,Винегрет,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0058,VKM-012,Винегрет,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0059,VKM-012,Винегрет,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0060,VKM-012,Винегрет,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0061,VKM-013,Слабосолёный лосось,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0062,VKM-013,Слабосолёный лосось,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0063,VKM-013,Слабосолёный лосось,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0064,VKM-013,Слабосолёный лосось,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0065,VKM-013,Слабосолёный лосось,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0066,VKM-014,Сельдь с запечённым картофелем,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0067,VKM-014,Сельдь с запечённым картофелем,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0068,VKM-014,Сельдь с запечённым картофелем,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0069,VKM-014,Сельдь с запечённым картофелем,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0070,VKM-014,Сельдь с запечённым картофелем,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0071,VKM-015,Оливки и маслины,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0072,VKM-015,Оливки и маслины,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0073,VKM-015,Оливки и маслины,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0074,VKM-015,Оливки и маслины,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0075,VKM-015,Оливки и маслины,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0076,VKM-016,Ассорти фирменных солений,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0077,VKM-016,Ассорти фирменных солений,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0078,VKM-016,Ассорти фирменных солений,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0079,VKM-016,Ассорти фирменных солений,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0080,VKM-016,Ассорти фирменных солений,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0081,VKM-017,Ростбиф с луком и гренкой,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0082,VKM-017,Ростбиф с луком и гренкой,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0083,VKM-017,Ростбиф с луком и гренкой,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0084,VKM-017,Ростбиф с луком и гренкой,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0085,VKM-017,Ростбиф с луком и гренкой,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0086,VKM-018,Традиционный красный борщ,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0087,VKM-018,Традиционный красный борщ,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
CQ-0088,VKM-018,Традиционный красный борщ,PROCESS,"Подтвердить последовательность операций, фактическое активное/полное время и проект подачи.",OPEN,Chef,Техкарта; оборудование; мощность; сервис,EVD-0010;EVD-0011,GAP-007;GAP-008,2026-08-03,Owner/Chef Gate,,
CQ-0089,VKM-018,Традиционный красный борщ,SEMI_FINISHED,"Подтвердить выделение, код и размер партии связанных полуфабрикатов; указать общие полуфабрикаты.",OPEN,Chef,DAG; двойной учёт; себестоимость; планирование,EVD-0009,GAP-006,2026-08-03,Owner/Chef Gate,,
CQ-0090,VKM-018,Традиционный красный борщ,PROCESS_FLOW_FOR_SAFETY,"Подтвердить фактический маршрут блюда по каналам: немедленная подача, хранение, охлаждение, разогрев и/или доставка; параметры не назначать без Food Safety re-review.",OPEN,Chef,Safety veto; ППК/HACCP; маркировка и прослеживаемость,EVD-0013;EVD-0014;EVD-FS-001;EVD-FS-003,GAP-010;GAP-011,2026-08-03,Owner/Chef Gate,,
CQ-0091,VKM-019,Мурманская треска со сливочно-горчичным соусом,RECIPE,Подтвердить или скорректировать построчный состав и проектные нормы брутто/нетто.,OPEN,Chef,Себестоимость; пищценность; аллергены; закупка,EVD-0007,GAP-004,2026-08-03,Owner/Chef Gate,,
CQ-0092,VKM-019,Мурманская треска со сливочно-горчичным соусом,YIELD,Подтвердить целевой выход и способ учёта подготовительных/тепловых потерь контрольным взвешиванием.,OPEN,Chef,Mass balance; себестоимость; порционирование,EVD-0005;EVD-0008,GAP-002;GAP-005,2026-08-03,Owner/Chef Gate,,
