dish_code,scope_class,menu_name,menu_family,recipe_status,calculation_layer_status,evidence_cogs_status,chef_status,supplier_evidence_status,safety_status,equipment_status,test_status,linked_defects,notes
VKM-011,ISSUE_82_ACTIVE,Греческий,Салаты,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-012,ISSUE_82_ACTIVE,Винегрет,Салаты,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-013,ISSUE_82_ACTIVE,Слабосолёный лосось,Холодные закуски,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-014,ISSUE_82_ACTIVE,Сельдь с запечённым картофелем,Холодные закуски,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-015,ISSUE_82_ACTIVE,Оливки и маслины,Холодные закуски,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-016,ISSUE_82_ACTIVE,Ассорти фирменных солений,Холодные закуски,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-017,ISSUE_82_ACTIVE,Ростбиф с луком и гренкой,Холодные закуски,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-018,ISSUE_82_ACTIVE,Традиционный красный борщ,Супы,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-019,ISSUE_82_ACTIVE,Мурманская треска со сливочно-горчичным соусом,Горячие блюда,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-020,ISSUE_82_ACTIVE,Креветки по-тайски,Горячие блюда,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-021,ISSUE_82_ACTIVE,Бургер VARSHAVKA,Горячие блюда,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-022,ISSUE_82_ACTIVE,Миньоны из говяжьей вырезки,Горячие блюда,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-023,ISSUE_82_ACTIVE,Запечённый картофель,Гарниры,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-024,ISSUE_82_ACTIVE,Рис жасмин,Гарниры,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-025,ISSUE_82_ACTIVE,Горячие овощи,Гарниры,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-026,BREAKFAST_REFERENCE_OUTSIDE_ISSUE_82,"Яичница, круассан и сыр двух видов",Гостиничные завтраки,S04_MODEL_RECIPE_PRELIMINARY,POPULATED_S04_MODEL,NOT_COMPLETE,NOT_APPROVED,PREPARED_RFQ_NOT_SENT_AND_EVIDENCE_OPEN,NOT_PRODUCTION_RELEASED,NOT_CONFIRMED,NOT_COMPLETE,ISSUE52_EVIDENCE_BACKLOG,S04 reference baseline; owner closed Issue52 without claiming missing evidence completed
VKM-027,BREAKFAST_REFERENCE_OUTSIDE_ISSUE_82,"Омлет, круассан и сыр двух видов",Гостиничные завтраки,S04_MODEL_RECIPE_PRELIMINARY,POPULATED_S04_MODEL,NOT_COMPLETE,NOT_APPROVED,PREPARED_RFQ_NOT_SENT_AND_EVIDENCE_OPEN,NOT_PRODUCTION_RELEASED,NOT_CONFIRMED,NOT_COMPLETE,ISSUE52_EVIDENCE_BACKLOG,S04 reference baseline; owner closed Issue52 without claiming missing evidence completed
VKM-028,BREAKFAST_REFERENCE_OUTSIDE_ISSUE_82,"Овсяная каша, круассан и сыр двух видов",Гостиничные завтраки,S04_MODEL_RECIPE_PRELIMINARY,POPULATED_S04_MODEL,NOT_COMPLETE,NOT_APPROVED,PREPARED_RFQ_NOT_SENT_AND_EVIDENCE_OPEN,NOT_PRODUCTION_RELEASED,NOT_CONFIRMED,NOT_COMPLETE,ISSUE52_EVIDENCE_BACKLOG,S04 reference baseline; owner closed Issue52 without claiming missing evidence completed
VKM-029,ISSUE_82_ACTIVE,Черничный торт VARSHAVKA,Десерты,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-030,ISSUE_82_ACTIVE,Кростата с солёной карамелью,Десерты,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
VKM-031,ISSUE_82_ACTIVE,Мадлен,Десерты,DRAFT_NOT_APPROVED,POPULATED_PROXY_SCENARIO,NOT_COMPLETE,NOT_APPROVED,NOT_COMPLETE,BLOCK,NOT_CONFIRMED,NOT_COMPLETE,IV-002;IV-003_IF_APPLICABLE;IV-004;IV-006;IV-007_IF_APPLICABLE,Calculation layer allowed for financial-model planning only
