bridge_record_id,position_code,position_name,menu_family,unit_basis,source_model,source_ref_sha,source_path,source_record_key,source_as_of,recipe_or_model_version,costing_method_id,evidence_food_cost_rub,evidence_spoilage_rub,evidence_kitchen_cogs_rub,evidence_packaging_rub,evidence_other_direct_variable_rub,evidence_complete_direct_cogs_rub,model_evidence_benchmark_component_rub,model_proxy_component_rub,model_food_cost_rub,model_spoilage_rub,model_kitchen_cogs_rub,model_packaging_rub,model_other_direct_variable_rub,model_complete_direct_cogs_rub,model_tariff_or_price_rub,model_food_cost_ratio,calculation_layer,calculation_status,procurement_evidence_status,owner_model_status,safety_release_status,import_status,limitations
CALC-VKM-011-ISS82-PROXY,VKM-011,Греческий,Салаты,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-011,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,26.06,102.840665,128.900665,1.93351,130.834175,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-012-ISS82-PROXY,VKM-012,Винегрет,Салаты,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-012,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,0.2934,24.912711,25.206111,0.378092,25.584202,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-013-ISS82-PROXY,VKM-013,Слабосолёный лосось,Холодные закуски,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-013,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,442.076333,25.113071,467.189404,7.007841,474.197245,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-014-ISS82-PROXY,VKM-014,Сельдь с запечённым картофелем,Холодные закуски,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-014,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,72.78102,15.439572,88.220592,1.323309,89.543901,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-015-ISS82-PROXY,VKM-015,Оливки и маслины,Холодные закуски,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-015,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,0.874,130.307168,131.181168,1.967718,133.148886,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-016-ISS82-PROXY,VKM-016,Ассорти фирменных солений,Холодные закуски,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-016,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,22.27546,16.352697,38.628157,0.579422,39.207579,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-017-ISS82-PROXY,VKM-017,Ростбиф с луком и гренкой,Холодные закуски,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-017,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,3.12,148.447144,151.567144,2.273507,153.840651,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-018-ISS82-PROXY,VKM-018,Традиционный красный борщ,Супы,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-018,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,17.693725,82.095067,99.788792,1.496832,101.285624,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-019-ISS82-PROXY,VKM-019,Мурманская треска со сливочно-горчичным соусом,Горячие блюда,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-019,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,303.757296,62.187699,365.944995,5.489175,371.43417,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-020-ISS82-PROXY,VKM-020,Креветки по-тайски,Горячие блюда,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-020,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,252.6062,99.465476,352.071676,5.281075,357.352751,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-021-ISS82-PROXY,VKM-021,Бургер VARSHAVKA,Горячие блюда,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-021,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,164.12328,62.834046,226.957326,3.40436,230.361685,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-022-ISS82-PROXY,VKM-022,Миньоны из говяжьей вырезки,Горячие блюда,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-022,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,303.133006,18.805907,321.938912,4.829084,326.767996,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-023-ISS82-PROXY,VKM-023,Запечённый картофель,Гарниры,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-023,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,16.9983,2.654442,19.652742,0.294791,19.947533,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-024-ISS82-PROXY,VKM-024,Рис жасмин,Гарниры,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-024,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,5.641258,18.562331,24.203589,0.363054,24.566642,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-025-ISS82-PROXY,VKM-025,Горячие овощи,Гарниры,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-025,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,31.829613,16.328672,48.158285,0.722374,48.880659,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-026-S04-BREAKFAST,VKM-026,"Яичница, круассан и сыр двух видов",Гостиничные завтраки,one closed breakfast complex,S04_v3.0.0_BREAKFAST_COSTING,1573dc616ead7244146c8601cf61cd3c82d3c46e,models/scenarios/S04/FINMODEL_VARSHAVKA_USALI_SCENARIO_S04_v3.0.0.xlsx,BREAKFAST_COSTING!A23:J23,2026-07-28,S04-v3.0.0,S04_BREAKFAST_FORMULA_GROSS_INPUT,,,,,,,,,131.2826677778,,131.2826677778,0,60.0000000000,191.2826677778,550.00,0.3477866686869,S04_APPROVED_MODEL_PRELIMINARY_PROCUREMENT,PRELIMINARY_SUPPLIER_PRICES_AND_CONTROL_TRIALS,PRELIMINARY_SUPPLIER_EVIDENCE_OPEN,S04_MODEL_RELEASE_APPROVED,NOT_EVALUATED_BY_THIS_BRIDGE,MODEL_ONLY_NOT_EVIDENCE,"Official S04 model parameter; supplier quotations, VAT treatment and control trials remain open; Fontina 1800 RUB/kg is sensitivity input"
CALC-VKM-027-S04-BREAKFAST,VKM-027,"Омлет, круассан и сыр двух видов",Гостиничные завтраки,one closed breakfast complex,S04_v3.0.0_BREAKFAST_COSTING,1573dc616ead7244146c8601cf61cd3c82d3c46e,models/scenarios/S04/FINMODEL_VARSHAVKA_USALI_SCENARIO_S04_v3.0.0.xlsx,BREAKFAST_COSTING!A24:J24,2026-07-28,S04-v3.0.0,S04_BREAKFAST_FORMULA_GROSS_INPUT,,,,,,,,,163.1946677778,,163.1946677778,0,60.0000000000,223.1946677778,550.00,0.4058084868687,S04_APPROVED_MODEL_PRELIMINARY_PROCUREMENT,PRELIMINARY_SUPPLIER_PRICES_AND_CONTROL_TRIALS,PRELIMINARY_SUPPLIER_EVIDENCE_OPEN,S04_MODEL_RELEASE_APPROVED,NOT_EVALUATED_BY_THIS_BRIDGE,MODEL_ONLY_NOT_EVIDENCE,"Official S04 model parameter; supplier quotations, VAT treatment and control trials remain open; Fontina 1800 RUB/kg is sensitivity input"
CALC-VKM-028-S04-BREAKFAST,VKM-028,"Овсяная каша, круассан и сыр двух видов",Гостиничные завтраки,one closed breakfast complex,S04_v3.0.0_BREAKFAST_COSTING,1573dc616ead7244146c8601cf61cd3c82d3c46e,models/scenarios/S04/FINMODEL_VARSHAVKA_USALI_SCENARIO_S04_v3.0.0.xlsx,BREAKFAST_COSTING!A25:J25,2026-07-28,S04-v3.0.0,S04_BREAKFAST_FORMULA_GROSS_INPUT,,,,,,,,,133.4837177778,,133.4837177778,0,60.0000000000,193.4837177778,550.00,0.3517885777778,S04_APPROVED_MODEL_PRELIMINARY_PROCUREMENT,PRELIMINARY_SUPPLIER_PRICES_AND_CONTROL_TRIALS,PRELIMINARY_SUPPLIER_EVIDENCE_OPEN,S04_MODEL_RELEASE_APPROVED,NOT_EVALUATED_BY_THIS_BRIDGE,MODEL_ONLY_NOT_EVIDENCE,"Official S04 model parameter; supplier quotations, VAT treatment and control trials remain open; Fontina 1800 RUB/kg is sensitivity input"
CALC-VKM-029-ISS82-PROXY,VKM-029,Черничный торт VARSHAVKA,Десерты,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-029,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,861.862722,34.370276,896.232998,13.443495,909.676493,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-030-ISS82-PROXY,VKM-030,Кростата с солёной карамелью,Десерты,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-030,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,551.765083,8.96277,560.727853,8.410918,569.138771,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
CALC-VKM-031-ISS82-PROXY,VKM-031,Мадлен,Десерты,one sale portion,ISSUE82_RC2_PROXY_SCENARIO,71516bf871fa560e890ce5bc7f858854a5335ae2,docs/07-operations/issue-82/PROVISIONAL_PROXY_SCENARIO_COSTING.csv,VKM-031,2026-08-03,0.1.0-DRAFT,ISS82_PROXY_DAG_NO_DOUBLE_COUNT_V0.3,,,,,,,241.707519,7.873194,249.580713,3.743711,253.324424,,,,,,ISSUE82_PROXY_SCENARIO,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,OWNER_ACCEPTED_FOR_FINMODEL_PLANNING_NOT_SUBJECT_APPROVAL,BLOCK,MODEL_ONLY_NOT_EVIDENCE,"Not complete evidence-backed COGS; exact SKU, make/buy, yields, quotations, VAT, delivery and MOQ remain open"
