plan_id,dish_code,dish_name,recipe_version,draft_trial_batch_size,batch_unit,draft_target_output_per_unit,output_unit,parameter_status,evidence_ids,execution_owner,blocker_ids,input_measurement,intermediate_measurement,final_measurement,time_measurement,sensory_record,plating_and_channel_check,safety_dependency,execution_status,next_action
CCP-011,VKM-011,Греческий,0.1.0-DRAFT,5,порция/изделие,270,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-012,VKM-012,Винегрет,0.1.0-DRAFT,5,порция/изделие,240,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-013,VKM-013,Слабосолёный лосось,0.1.0-DRAFT,5,порция/изделие,130,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-014,VKM-014,Сельдь с запечённым картофелем,0.1.0-DRAFT,5,порция/изделие,250,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-015,VKM-015,Оливки и маслины,0.1.0-DRAFT,5,порция/изделие,120,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-016,VKM-016,Ассорти фирменных солений,0.1.0-DRAFT,5,порция/изделие,180,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-017,VKM-017,Ростбиф с луком и гренкой,0.1.0-DRAFT,5,порция/изделие,180,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-018,VKM-018,Традиционный красный борщ,0.1.0-DRAFT,5,порция/изделие,400,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-019,VKM-019,Мурманская треска со сливочно-горчичным соусом,0.1.0-DRAFT,5,порция/изделие,300,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-020,VKM-020,Креветки по-тайски,0.1.0-DRAFT,5,порция/изделие,360,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-021,VKM-021,Бургер VARSHAVKA,0.1.0-DRAFT,5,порция/изделие,350,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-022,VKM-022,Миньоны из говяжьей вырезки,0.1.0-DRAFT,5,порция/изделие,300,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-023,VKM-023,Запечённый картофель,0.1.0-DRAFT,5,порция/изделие,150,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-024,VKM-024,Рис жасмин,0.1.0-DRAFT,5,порция/изделие,150,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-025,VKM-025,Горячие овощи,0.1.0-DRAFT,5,порция/изделие,150,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-026,VKM-029,Черничный торт VARSHAVKA,0.1.0-DRAFT,1,изделие,1800,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-027,VKM-030,Кростата с солёной карамелью,0.1.0-DRAFT,1,изделие,1200,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
CCP-028,VKM-031,Мадлен,0.1.0-DRAFT,1,партия,600,г,DRAFT,EVD-0005;EVD-0030,Chef / Operations,GAP-002;GAP-005;GAP-008;GAP-025,Взвесить фактическое брутто и нетто каждой строки; отдельно отходы подготовки,Зафиксировать выход каждого VSF/стадии и остаток/потери,Взвесить общий выход и каждую порцию/изделие,Зафиксировать активное и полное время без подмены наблюдения оценкой,"Описать внешний вид, вкус, аромат, текстуру; решение не заполнять заранее",Зафиксировать соответствие проекту подачи и устойчивость при применимых каналах,Safety-контроли выполняются только по принятому handoff FoodSafetyAgent,НЕ ПРОВЕДЕНО,Контрольная проработка; Change Request при отклонении от v0.1.0-DRAFT
