nutrition_ingredient_record_id,ingredient_id,ingredient_name,recipe_line_count,dish_count,dish_codes,composition_source_id,composition_source_record_id,composition_basis,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,energy_kcal_per_100g,nutrient_value_status,evidence_ids,method_or_source_note,source_version_or_date,confirmation_owner,blocker_ids,next_action
NUT-ING-016,ING-016,Лук репчатый,4,4,VKM-003;VKM-012;VKM-018;VKM-020,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-017,ING-017,Пепперони,1,1,VKM-004,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-018,ING-018,Пюре томатное,1,1,VKM-006,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-019,ING-019,Томаты вяленые,1,1,VKM-006,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-020,ING-020,Мука ржаная,1,1,VKM-007,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-021,ING-021,Солод ржаной,1,1,VKM-007,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-022,ING-022,Патока,1,1,VKM-007,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-023,ING-023,Кориандр,1,1,VKM-007,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-024,ING-024,Масло растительное,13,13,VKM-007;VKM-010;VKM-012;VKM-013;VKM-014;VKM-016;VKM-017;VKM-018;VKM-019;VKM-022;VKM-023;VKM-024;VKM-025,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-025,ING-025,Молоко,3,3,VKM-008;VKM-029;VKM-031,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-026,ING-026,Яйцо или меланж,4,4,VKM-008;VKM-029;VKM-030;VKM-031,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-027,ING-027,Масло сливочное,8,7,VKM-008;VKM-019;VKM-022;VKM-024;VKM-029;VKM-030;VKM-031,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-028,ING-028,Сахар,6,5,VKM-008;VKM-016;VKM-029;VKM-030;VKM-031,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-029,ING-029,Меланж для смазки,1,1,VKM-008,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-030,ING-030,Буррата,1,1,VKM-009,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-031,ING-031,Томаты свежие,3,3,VKM-009;VKM-011;VKM-016,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-032,ING-032,Уксус бальзамический,1,1,VKM-009,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-033,ING-033,Соль и специи,4,4,VKM-009;VKM-022;VKM-023;VKM-025,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-034,ING-034,Салатная зелень,2,2,VKM-009;VKM-013,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-035,ING-035,Салатный микс,1,1,VKM-010,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-036,ING-036,Креветки очищенные,2,2,VKM-010;VKM-020,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-037,ING-037,Яблоко,1,1,VKM-010,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-038,ING-038,Огурец свежий,3,3,VKM-010;VKM-011;VKM-016,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-039,ING-039,Сок лимона,2,2,VKM-010;VKM-011,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-040,ING-040,Мёд,2,2,VKM-010;VKM-031,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-041,ING-041,Горчица,3,3,VKM-010;VKM-017;VKM-019,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-042,ING-042,Семена или ореховая крошка,1,1,VKM-010,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-043,ING-043,Перец сладкий,4,4,VKM-011;VKM-016;VKM-020;VKM-025,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-044,ING-044,Сыр фета,1,1,VKM-011,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-045,ING-045,Оливки,1,1,VKM-011,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-046,ING-046,Лук красный,3,3,VKM-011;VKM-014;VKM-017,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-047,ING-047,Орегано и соль,1,1,VKM-011,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-048,ING-048,Свёкла отварная,1,1,VKM-012,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-049,ING-049,Картофель отварной,1,1,VKM-012,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-050,ING-050,Морковь отварная,1,1,VKM-012,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-051,ING-051,Огурец солёный,2,2,VKM-012;VKM-014,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-052,ING-052,Капуста квашеная,1,1,VKM-012,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-053,ING-053,Горошек консервированный без заливки,1,1,VKM-012,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-054,ING-054,"Лосось слабосолёный, готовое филе",1,1,VKM-013,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-055,ING-055,Лимон,1,1,VKM-013,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-056,ING-056,Каперсы,1,1,VKM-013,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-057,ING-057,"Сельдь, филе",1,1,VKM-014,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-058,ING-058,Картофель запечённый,1,1,VKM-014,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-059,ING-059,Зелень,5,5,VKM-014;VKM-017;VKM-018;VKM-019;VKM-022,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-060,ING-060,Оливки зелёные без заливки,1,1,VKM-015,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-061,ING-061,Маслины без заливки,1,1,VKM-015,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-062,ING-062,Цедра цитрусовая,1,1,VKM-015,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-063,ING-063,Пряные травы,4,4,VKM-015;VKM-022;VKM-023;VKM-025,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-064,ING-064,Капуста белокочанная,2,2,VKM-016;VKM-018,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-065,ING-065,Уксус пищевой,1,1,VKM-016,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-066,ING-066,Ростбиф охлаждённый готовый,1,1,VKM-017,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-067,ING-067,Хлеб для гренки,1,1,VKM-017,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-068,ING-068,Майонез или эмульсионный соус,1,1,VKM-017,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-069,ING-069,Сок мясной или бульон,1,1,VKM-017,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-070,ING-070,Бульон мясной,1,1,VKM-018,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
NUT-ING-071,ING-071,Свёкла,1,1,VKM-018,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,EVD-0016;EVD-0027;EVD-0028,Exact approved SKU/specification or exact official database record is not mapped; no fuzzy or zero substitution,null,Procurement / NutritionDataAgent,GAP-013;GAP-023,"Approve SKU and map label/specification or exact official composition record, including edible-state basis"
