nutrition_record_id,dish_code,cost_card_code,tech_card_code,menu_section,dish_name,recipe_version,production_sales_unit,draft_batch_or_item_output_mass,output_unit,draft_sale_portion_mass,sale_portion_unit,portion_mass_method_status,ingredient_line_count,protein_g_per_declared_output,fat_g_per_declared_output,carbohydrate_g_per_declared_output,energy_kcal_per_declared_output,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,energy_kcal_per_100g,calculation_status,laboratory_confirmed,evidence_ids,calculation_method,source_date,confirmation_owner,blocker_ids,limitation,next_action
NUT-DISH-011,VKM-011,VKC-011,VKT-011,Салаты,Греческий,0.1.0-DRAFT,1 порция,270,г,270,г,DRAFT: target output used as one sales unit,9,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-012,VKM-012,VKC-012,VKT-012,Салаты,Винегрет,0.1.0-DRAFT,1 порция,240,г,240,г,DRAFT: target output used as one sales unit,8,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-013,VKM-013,VKC-013,VKT-013,Холодные закуски,Слабосолёный лосось,0.1.0-DRAFT,1 порция,130,г,130,г,DRAFT: target output used as one sales unit,5,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-014,VKM-014,VKC-014,VKT-014,Холодные закуски,Сельдь с запечённым картофелем,0.1.0-DRAFT,1 порция,250,г,250,г,DRAFT: target output used as one sales unit,6,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-015,VKM-015,VKC-015,VKT-015,Холодные закуски,Оливки и маслины,0.1.0-DRAFT,1 порция,120,г,120,г,DRAFT: target output used as one sales unit,6,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-016,VKM-016,VKC-016,VKT-016,Холодные закуски,Ассорти фирменных солений,0.1.0-DRAFT,1 порция,180,г,180,г,DRAFT: target output used as one sales unit,9,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-017,VKM-017,VKC-017,VKT-017,Холодные закуски,Ростбиф с луком и гренкой,0.1.0-DRAFT,1 порция,180,г,180,г,DRAFT: target output used as one sales unit,8,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-018,VKM-018,VKC-018,VKT-018,Супы,Традиционный красный борщ,0.1.0-DRAFT,1 гостевая подача,400,г,400,г,DRAFT: target output used as one sales unit,11,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-019,VKM-019,VKC-019,VKT-019,Горячие блюда,Мурманская треска со сливочно-горчичным соусом,0.1.0-DRAFT,1 порция,300,г,300,г,DRAFT: target output used as one sales unit,8,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-020,VKM-020,VKC-020,VKT-020,Горячие блюда,Креветки по-тайски,0.1.0-DRAFT,1 порция,360,г,360,г,DRAFT: target output used as one sales unit,10,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-021,VKM-021,VKC-021,VKT-021,Горячие блюда,Бургер VARSHAVKA,0.1.0-DRAFT,1 бургер,350,г,350,г,DRAFT: target output used as one sales unit,10,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-022,VKM-022,VKC-022,VKT-022,Горячие блюда,Миньоны из говяжьей вырезки,0.1.0-DRAFT,"1 порция, 2 миньона",300,г,300,г,DRAFT: target output used as one sales unit,9,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-023,VKM-023,VKC-023,VKT-023,Гарниры,Запечённый картофель,0.1.0-DRAFT,1 порция,150,г,150,г,DRAFT: target output used as one sales unit,4,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-024,VKM-024,VKC-024,VKT-024,Гарниры,Рис жасмин,0.1.0-DRAFT,1 порция,150,г,150,г,DRAFT: target output used as one sales unit,5,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-025,VKM-025,VKC-025,VKT-025,Гарниры,Горячие овощи,0.1.0-DRAFT,1 порция,150,г,150,г,DRAFT: target output used as one sales unit,7,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-026,VKM-029,VKC-029,VKT-029,Десерты,Черничный торт VARSHAVKA,0.1.0-DRAFT,1 торт / 12 порций,1800,г,150,г,CALCULATED_FROM_DRAFT: 1800 г / 12 порций,17,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-027,VKM-030,VKC-030,VKT-030,Десерты,Кростата с солёной карамелью,0.1.0-DRAFT,1 кростата / 10 порций,1200,г,120,г,CALCULATED_FROM_DRAFT: 1200 г / 10 порций,13,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
NUT-DISH-028,VKM-031,VKC-031,VKT-031,Десерты,Мадлен,0.1.0-DRAFT,партия 20 шт. / продажа 2 шт.,600,г,60,г,CALCULATED_FROM_DRAFT: 600 г × 2 шт. / 20 шт.,9,null,null,null,null,null,null,null,null,BLOCKED_PENDING_VALIDATION,false,EVD-0005;EVD-0007;EVD-0008;EVD-0027;EVD-0028;METHOD-NUT-001,"Σ(net_qty_g × accepted ingredient nutrient per 100 g / 100), then normalize to frozen output; execute only when all ingredient mappings and processing basis are accepted",2026-08-03,NutritionDataAgent / Procurement / Chef,GAP-005;GAP-013;GAP-023,All ingredient composition values are unresolved; recipe and yield remain draft; calculated nutrition cannot be released,"Map every ingredient to an accepted composition record, resolve processed-state/yield basis, rebuild and review"
