dish_code,dish_name,passport,recipe,semi_finished,costing,tech_card,equipment_capacity,inventory_tableware,allergen_safety,nutrition,channel_pricing,chef_questions,control_cook_form,approval_sheet,owner,status
VKM-011,Греческий,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-012,Винегрет,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-013,Слабосолёный лосось,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-014,Сельдь с запечённым картофелем,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-015,Оливки и маслины,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-016,Ассорти фирменных солений,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-017,Ростбиф с луком и гренкой,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-018,Традиционный красный борщ,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-019,Мурманская треска со сливочно-горчичным соусом,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-020,Креветки по-тайски,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-021,Бургер VARSHAVKA,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-022,Миньоны из говяжьей вырезки,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-023,Запечённый картофель,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-024,Рис жасмин,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-025,Горячие овощи,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-029,Черничный торт VARSHAVKA,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-030,Кростата с солёной карамелью,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
VKM-031,Мадлен,DRAFT_COMPLETE,DRAFT_COMPLETE,DRAFT_LINKED_OR_NA,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE,BLOCKED_PENDING_VALIDATION,DRAFT_COMPLETE_WITH_BLOCKERS,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,BLOCKED_PENDING_VALIDATION,OPEN_COMPLETE,READY_UNUSED,DRAFT_NOT_APPROVED,Orchestrator,DRAFT_WITH_ASSUMPTIONS
