"dish_code","dish_name","version","as_of_date","control_id","stage","control_class","hazard","control_parameter","critical_limit","monitoring","corrective_action","evidence_ids","status","blocker","owner"
"VKM-005","Белая чиабатта","0.1.0","2026-08-03","CCP-VKM-005-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-005-02","Food Safety/PPK owner; Operations"
"VKM-005","Белая чиабатта","0.1.0","2026-08-03","CCP-VKM-005-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw flour/egg/dairy hazards where applicable; survival if baking process is not validated; post-bake contamination","validated baking endpoint and post-bake handling/storage","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-005-03","Food Safety/PPK owner; Chef; Operations"
"VKM-005","Белая чиабатта","0.1.0","2026-08-03","CCP-VKM-005-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003","BLOCKED_PENDING_VALIDATION","SBL-VKM-005-04","Food Safety/PPK owner; Operations"
"VKM-005","Белая чиабатта","0.1.0","2026-08-03","CCP-VKM-005-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-005-05","Food Safety/PPK owner; Operations"
"VKM-006","Томатная чиабатта","0.1.0","2026-08-03","CCP-VKM-006-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003","BLOCKED_PENDING_VALIDATION","SBL-VKM-006-01","Procurement; Food Safety/PPK owner"
"VKM-006","Томатная чиабатта","0.1.0","2026-08-03","CCP-VKM-006-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-006-02","Food Safety/PPK owner; Operations"
"VKM-006","Томатная чиабатта","0.1.0","2026-08-03","CCP-VKM-006-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw flour/egg/dairy hazards where applicable; survival if baking process is not validated; post-bake contamination","validated baking endpoint and post-bake handling/storage","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-006-03","Food Safety/PPK owner; Chef; Operations"
"VKM-006","Томатная чиабатта","0.1.0","2026-08-03","CCP-VKM-006-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003","BLOCKED_PENDING_VALIDATION","SBL-VKM-006-04","Food Safety/PPK owner; Operations"
"VKM-006","Томатная чиабатта","0.1.0","2026-08-03","CCP-VKM-006-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-006-05","Food Safety/PPK owner; Operations"
"VKM-007","Бородинский хлеб","0.1.0","2026-08-03","CCP-VKM-007-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003","BLOCKED_PENDING_VALIDATION","SBL-VKM-007-01","Procurement; Food Safety/PPK owner"
"VKM-007","Бородинский хлеб","0.1.0","2026-08-03","CCP-VKM-007-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-007-02","Food Safety/PPK owner; Operations"
"VKM-007","Бородинский хлеб","0.1.0","2026-08-03","CCP-VKM-007-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw flour/egg/dairy hazards where applicable; survival if baking process is not validated; post-bake contamination","validated baking endpoint and post-bake handling/storage","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-007-03","Food Safety/PPK owner; Chef; Operations"
"VKM-007","Бородинский хлеб","0.1.0","2026-08-03","CCP-VKM-007-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003","BLOCKED_PENDING_VALIDATION","SBL-VKM-007-04","Food Safety/PPK owner; Operations"
"VKM-007","Бородинский хлеб","0.1.0","2026-08-03","CCP-VKM-007-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-007-05","Food Safety/PPK owner; Operations"
"VKM-008","Бриошь","0.1.0","2026-08-03","CCP-VKM-008-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-008-01","Procurement; Food Safety/PPK owner"
"VKM-008","Бриошь","0.1.0","2026-08-03","CCP-VKM-008-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-008-02","Food Safety/PPK owner; Operations"
"VKM-008","Бриошь","0.1.0","2026-08-03","CCP-VKM-008-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","raw flour/egg/dairy hazards where applicable; survival if baking process is not validated; post-bake contamination","validated baking endpoint and post-bake handling/storage","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-008-03","Food Safety/PPK owner; Chef; Operations"
"VKM-008","Бриошь","0.1.0","2026-08-03","CCP-VKM-008-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-008-04","Food Safety/PPK owner; Operations"
"VKM-008","Бриошь","0.1.0","2026-08-03","CCP-VKM-008-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-008-05","Food Safety/PPK owner; Operations"
"VKM-009","Буррата с томатами","0.1.0","2026-08-03","CCP-VKM-009-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-009-01","Procurement; Food Safety/PPK owner"
"VKM-009","Буррата с томатами","0.1.0","2026-08-03","CCP-VKM-009-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-009-02","Food Safety/PPK owner; Operations"
"VKM-009","Буррата с томатами","0.1.0","2026-08-03","CCP-VKM-009-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","growth or transfer of microorganisms during receipt/preparation/service; contamination from raw produce or ready-to-eat components","cold-chain and time-out-of-control limit","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-009-03","Food Safety/PPK owner; Chef; Operations"
"VKM-009","Буррата с томатами","0.1.0","2026-08-03","CCP-VKM-009-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-009-04","Food Safety/PPK owner; Operations"
"VKM-009","Буррата с томатами","0.1.0","2026-08-03","CCP-VKM-009-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-009-05","Food Safety/PPK owner; Operations"
"VKM-010","Микс-салат с креветками и яблоком","0.1.0","2026-08-03","CCP-VKM-010-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-006","BLOCKED_PENDING_VALIDATION","SBL-VKM-010-01","Procurement; Food Safety/PPK owner"
"VKM-010","Микс-салат с креветками и яблоком","0.1.0","2026-08-03","CCP-VKM-010-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-010-02","Food Safety/PPK owner; Operations"
"VKM-010","Микс-салат с креветками и яблоком","0.1.0","2026-08-03","CCP-VKM-010-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","growth or transfer of microorganisms during receipt/preparation/service; contamination from raw produce or ready-to-eat components","cold-chain and time-out-of-control limit","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-010-03","Food Safety/PPK owner; Chef; Operations"
"VKM-010","Микс-салат с креветками и яблоком","0.1.0","2026-08-03","CCP-VKM-010-04","STORAGE_HOLDING_SERVICE","OPRP_CANDIDATE","microbial growth/toxin formation or quality/safety loss during storage, holding, delivery or service","manufacturer/validated storage conditions, time and shelf life by final process/channel","null","batch label and storage/holding record; exact method pending validation","block release; isolate expired/untraceable/deviating product; documented disposal or justified disposition","EVD-0014;EVD-FS-001;EVD-FS-003;EVD-FS-006","BLOCKED_PENDING_VALIDATION","SBL-VKM-010-04","Food Safety/PPK owner; Operations"
"VKM-010","Микс-салат с креветками и яблоком","0.1.0","2026-08-03","CCP-VKM-010-05","TRACEABILITY_AND_CONSUMER_INFORMATION","PRP","untraceable ingredient/finished batch or incomplete allergen information","recipe version, SKU and lot links, production time, responsible person, channel label/allergen statement, recall/disposition record","100% required traceability fields completed; allergen absence claims prohibited until evidence complete","record review before release and periodic traceability exercise","block release; restore traceability if evidence permits; otherwise dispose/recall per approved procedure","EVD-0012;EVD-0015;EVD-FS-001;EVD-FS-002","DRAFT","SBL-VKM-010-05","Food Safety/PPK owner; Operations"
"VKM-011","Греческий","0.1.0","2026-08-03","CCP-VKM-011-01","RECEIVING","OPRP_CANDIDATE","unacceptable/undocumented raw material; temperature abuse; lot mismatch","documents, lot, integrity, manufacturer storage/transport conditions and receipt measurement where applicable","null","receiving record and document match; calibrated measurement method to be approved","quarantine/reject; document deviation; prevent use until disposition","EVD-FS-001;EVD-FS-003;EVD-FS-007","BLOCKED_PENDING_VALIDATION","SBL-VKM-011-01","Procurement; Food Safety/PPK owner"
"VKM-011","Греческий","0.1.0","2026-08-03","CCP-VKM-011-02","PREPARATION_AND_CROSS_CONTACT","PRP_OR_OPRP_TO_BE_DETERMINED","microbiological/allergen/physical cross-contamination","zoning, separation, cleaning verification, utensil/equipment changeover, hand hygiene","null","site HACCP/PPK checklist; recipe/allergen changeover record","stop; isolate affected food; re-clean; assess disposition; record and retrain","EVD-FS-001;EVD-FS-002","BLOCKED_PENDING_VALIDATION","SBL-VKM-011-02","Food Safety/PPK owner; Operations"
"VKM-011","Греческий","0.1.0","2026-08-03","CCP-VKM-011-03","PROCESS","CCP_CANDIDATE_NOT_CONFIRMED","growth or transfer of microorganisms during receipt/preparation/service; contamination from raw produce or ready-to-eat components","cold-chain and time-out-of-control limit","null","method/frequency/equipment cannot be fixed before recipe and validation","do not release batch when validated limit is absent or deviation occurs; isolate and document disposition","EVD-0013;EVD-0014;EVD-FS-001","BLOCKED_PENDING_VALIDATION","SBL-VKM-011-03","Food Safety/PPK owner; Chef; Operations"
