ingredient_id,ingredient_name,total_gross_usage_g_in_28_drafts,significant_sku,selected_price_rub_per_kg,price_basis,observation_count_compatible,price_source_ids,price_as_of,parameter_status,confidence,confidence_reason,vat_status,delivery_rub,moq,approval_owner,next_action
ING-011,Базилик свежий,6,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-012,Горгонзола,45,YES,1799.9,median_public_observation,2,PSR-0021;PSR-0023,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-013,Фонтина или иной четвёртый сыр,30,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-014,Ветчина,60,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-015,Шампиньоны,50,NO,479.96,median_public_observation,1,PSR-0074,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-016,Лук репчатый,50,NO,48.9,median_public_observation,1,PSR-0071,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-017,Пепперони,90,NO,1444.333333,median_public_observation,1,PSR-0075,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-018,Пюре томатное,13,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-019,Томаты вяленые,8,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-020,Мука ржаная,150,NO,69.99,median_public_observation,1,PSR-0070,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-021,Солод ржаной,20,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-022,Патока,10,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-023,Кориандр,4,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-024,Масло растительное,86,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-025,Молоко,63,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-026,Яйцо или меланж,391,NO,401.666667,median_public_observation,1,PSR-0009,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-027,Масло сливочное,490,YES,1111.055556,median_public_observation,1,PSR-0010,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-028,Сахар,529,NO,99.99,median_public_observation,1,PSR-0013,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-029,Меланж для смазки,1,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-030,Буррата,125,YES,1536.593333,median_public_observation,4,PSR-0025;PSR-0026;PSR-0027;PSR-0028,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-031,Томаты свежие,264,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-032,Уксус бальзамический,3,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-033,Соль и специи,8,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-034,Салатная зелень,29,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-035,Салатный микс,90,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-036,Креветки очищенные,250,YES,1659.98,median_public_observation,5,PSR-0031;PSR-0032;PSR-0033;PSR-0034;PSR-0035,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-037,Яблоко,65,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-038,Огурец свежий,160,NO,145,median_public_observation,1,PSR-0072,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-039,Сок лимона,10,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-040,Мёд,18,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-041,Горчица,17,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-042,Семена или ореховая крошка,5,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-043,Перец сладкий,162,NO,305,median_public_observation,1,PSR-0073,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-044,Сыр фета,50,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-045,Оливки,21,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-046,Лук красный,60,NO,130,median_public_observation,1,PSR-0077,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-047,Орегано и соль,1,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-048,Свёкла отварная,95,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-049,Картофель отварной,65,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-050,Морковь отварная,38,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-051,Огурец солёный,57,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-052,Капуста квашеная,28,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-053,Горошек консервированный без заливки,16,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-054,"Лосось слабосолёный, готовое филе",110,YES,3999.966667,median_public_observation,3,PSR-0038;PSR-0040;PSR-0041,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-055,Лимон,13,NO,160,median_public_observation,1,PSR-0081,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-056,Каперсы,6,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-057,"Сельдь, филе",110,NO,519.96,median_public_observation,1,PSR-0076,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-058,Картофель запечённый,135,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-059,Зелень,26.5,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-060,Оливки зелёные без заливки,65,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-061,Маслины без заливки,65,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-062,Цедра цитрусовая,5,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-063,Пряные травы,16,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-064,Капуста белокочанная,102,NO,49.99,median_public_observation,1,PSR-0078,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-065,Уксус пищевой,5,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-066,Ростбиф охлаждённый готовый,115,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-067,Хлеб для гренки,34,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-068,Майонез или эмульсионный соус,7,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-069,Сок мясной или бульон,3,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-070,Бульон мясной,160,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-071,Свёкла,78,NO,39,median_public_observation,1,PSR-0079,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-072,Картофель,222,NO,99.99,median_public_observation,1,PSR-0090,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-073,Говядина отварная,65,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-074,Морковь,19,NO,52.495,median_public_observation,2,PSR-0044;PSR-0080,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-075,Сметана,15,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-076,"Треска, филе порционное",210,YES,1144.99,median_public_observation,4,PSR-0046;PSR-0047;PSR-0048;PSR-0049,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-077,Сливки,343,YES,899.98,median_public_observation,3,PSR-0050;PSR-0051;PSR-0052,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-078,Бульон рыбный или овощной,12,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-079,Шпинат,30,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-080,Молоко кокосовое,84,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-081,Паста карри проектная,15,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-082,Бульон или вода,20,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-083,Соус рыбный или соевый,10,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-084,Цукини,78,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-085,Лапша рисовая подготовленная,45,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-086,Зелень и лайм,13,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-087,Бриошь VKM-008,85,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-088,Говядина для котлеты,175,NO,789.99,median_public_observation,1,PSR-0054,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-089,Жир говяжий или иной компонент котлеты,5,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-090,Сыр ломтиковый,20,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-091,Томат,34,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-092,Огурец маринованный,23,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-093,Лук,12,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-094,Соус эмульсионный,20,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-095,Соус томатный,5,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-096,Салат листовой,12,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-097,Говяжья вырезка,255,YES,1136.99,median_public_observation,4,PSR-0055;PSR-0056;PSR-0057;PSR-0058,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-098,Бульон или мясной сок,35,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-099,Маринад нейтральный проектный,18,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-100,Рис жасмин сухой,55,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-101,"Вода питьевая, удержанная в продукте",120,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-102,Баклажан,36,NO,270,median_public_observation,1,PSR-0082,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-103,Брокколи,31,NO,299.9875,median_public_observation,1,PSR-0083,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-104,Мука пшеничная кондитерская,645,NO,64.995,median_public_observation,1,PSR-0084,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-105,Разрыхлитель,10,NO,1299,median_public_observation,1,PSR-0085,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-106,Соль,22,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-107,Черника,530,YES,783.3,median_public_observation,3,PSR-0061;PSR-0062;PSR-0063,2026-08-03,ESTIMATE,MEDIUM,Медиана публичных наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,Сверить с КП и выбрать поставщика
ING-108,Сыр сливочный,370,YES,549.975,median_public_observation,1,PSR-0064,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-109,Сахарная пудра,120,NO,159.96,median_public_observation,1,PSR-0086,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-110,Пектин или крахмал,20,NO,174.975,median_public_observation,1,PSR-0087,2026-08-03,ESTIMATE,LOW_CONFIDENCE,Менее трёх сопоставимых наблюдений,Ставка и право вычета не подтверждены,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
ING-111,Глазурь проектная,150,NO,,,0,,,BLOCKED,BLOCKED,Нет проверяемого публичного ценового наблюдения,,,,Owner / Procurement,"Получить минимум 3 КП HoReCa с фасовкой, доставкой, MOQ и НДС"
