dag_edge_id,parent_type,parent_code,child_vsf_code,batch_variant_id,required_output_qty,unit,edge_role,mapping_id,source_recipe_line_ids,status,evidence_ids,blocker_ids,cycle_control
SFD-015,DISH,VKM-010,VSF-008,VSF-008@BASE,20,г,DIRECT_COMPONENT,SFM-015,RCP-0095;RCP-0096;RCP-0097;RCP-0098,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-016,DISH,VKM-011,VSF-009,VSF-009@BASE,10,г,DIRECT_COMPONENT,SFM-016,RCP-0106;RCP-0107;RCP-0108,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-017,DISH,VKM-012,VSF-010,VSF-010@BASE,160,г,DIRECT_COMPONENT,SFM-017,RCP-0109;RCP-0110;RCP-0111,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-018,DISH,VKM-014,VSF-011,VSF-011@VKM-023,110,г,REUSED_COMPONENT,SFM-018,RCP-0123,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-019,DISH,VKM-023,VSF-011,VSF-011@VKM-023,150,г,FINAL_DISH_EQUALS_VSF_BATCH,SFM-019,RCP-0199;RCP-0200;RCP-0201;RCP-0202,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-020,DISH,VKM-015,VSF-012,VSF-012@BASE,20,г,DIRECT_COMPONENT,SFM-020,RCP-0130;RCP-0131;RCP-0132;RCP-0133,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-021,VSF,VSF-014,VSF-013,VSF-013@BASE,20,г,NESTED_CHILD,SFM-021,RCP-0138;RCP-0139;RCP-0140;RCP-0141;RCP-0142,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-022,DISH,VKM-016,VSF-014,VSF-014@BASE,180,г,ASSEMBLED_COMPONENT,SFM-022,RCP-0134;RCP-0135;RCP-0136;RCP-0137;RCP-0138;RCP-0139;RCP-0140;RCP-0141;RCP-0142,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-023,DISH,VKM-017,VSF-015,VSF-015@BASE,33,г,DIRECT_COMPONENT,SFM-023,RCP-0145;RCP-0146,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-024,DISH,VKM-017,VSF-016,VSF-016@BASE,15,г,DIRECT_COMPONENT,SFM-024,RCP-0147;RCP-0148;RCP-0149,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-025,DISH,VKM-018,VSF-017,VSF-017@BASE,145,г,DIRECT_COMPONENT,SFM-025,RCP-0151,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-026,DISH,VKM-018,VSF-018,VSF-018@BASE,105,г,DIRECT_COMPONENT,SFM-026,RCP-0152;RCP-0156;RCP-0157;RCP-0158;RCP-0159,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-027,DISH,VKM-019,VSF-019,VSF-019@BASE,85,г,DIRECT_COMPONENT,SFM-027,RCP-0163;RCP-0164;RCP-0165;RCP-0166,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-028,DISH,VKM-020,VSF-020,VSF-020@BASE,120,г,DIRECT_COMPONENT,SFM-028,RCP-0171;RCP-0172;RCP-0173;RCP-0174,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-029,DISH,VKM-021,VSF-021,VSF-021@BASE,150,г,DIRECT_COMPONENT,SFM-029,RCP-0181;RCP-0182,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-030,DISH,VKM-021,VSF-022,VSF-022@BASE,25,г,DIRECT_COMPONENT,SFM-030,RCP-0187;RCP-0188,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-031,DISH,VKM-022,VSF-023,VSF-023@BASE,220,г,DIRECT_COMPONENT,SFM-031,RCP-0190,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-032,DISH,VKM-022,VSF-024,VSF-024@BASE,40,г,DIRECT_COMPONENT,SFM-032,RCP-0191;RCP-0192,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-033,DISH,VKM-024,VSF-025,VSF-025@BASE,138,г,DIRECT_COMPONENT,SFM-033,RCP-0203;RCP-0204,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-034,DISH,VKM-025,VSF-026,VSF-026@BASE,130,г,DIRECT_COMPONENT,SFM-034,RCP-0208;RCP-0209;RCP-0210;RCP-0211,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-035,DISH,VKM-029,VSF-027,VSF-027@BASE,607,г,DIRECT_COMPONENT,SFM-035,RCP-0215;RCP-0216;RCP-0217;RCP-0218;RCP-0219;RCP-0220;RCP-0221,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-036,DISH,VKM-029,VSF-028,VSF-028@BASE,700,г,DIRECT_COMPONENT,SFM-036,RCP-0222;RCP-0223;RCP-0224;RCP-0225,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-037,DISH,VKM-029,VSF-029,VSF-029@BASE,300,г,DIRECT_COMPONENT,SFM-037,RCP-0226;RCP-0227;RCP-0228;RCP-0229,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-038,DISH,VKM-029,VSF-030,VSF-030@BASE,150,г,DIRECT_COMPONENT,SFM-038,RCP-0230,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-039,DISH,VKM-030,VSF-031,VSF-031@BASE,600,г,DIRECT_COMPONENT,SFM-039,RCP-0232;RCP-0233;RCP-0234;RCP-0235;RCP-0236,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-040,DISH,VKM-030,VSF-032,VSF-032@BASE,350,г,DIRECT_COMPONENT,SFM-040,RCP-0237;RCP-0238;RCP-0239;RCP-0240,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-041,DISH,VKM-030,VSF-033,VSF-033@BASE,200,г,DIRECT_COMPONENT,SFM-041,RCP-0241;RCP-0242;RCP-0243,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
SFD-042,DISH,VKM-031,VSF-034,VSF-034@BASE,600,г,DIRECT_COMPONENT,SFM-042,RCP-0245;RCP-0246;RCP-0247;RCP-0248;RCP-0249;RCP-0250;RCP-0251;RCP-0252;RCP-0253,DRAFT_WITH_ASSUMPTIONS,EVD-0009;EVD-0007;EVD-0008,GAP-006;GAP-010;GAP-011,Directed parent-to-child edge; validated by topological sort over VSF subgraph
