decision_id,scope,required_decision,options,recommended_option,evidence,cost_impact,price_margin_impact,safety_impact,equipment_impact,decision_owner,unblock_condition,status
CPD-017,ING-033,Выбрать закупочный SKU и цену для «Соль и специи»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-033; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 8 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-018,ING-034,Выбрать закупочный SKU и цену для «Салатная зелень»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-034; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 29 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-019,ING-035,Выбрать закупочный SKU и цену для «Салатный микс»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-035; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 90 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-020,ING-037,Выбрать закупочный SKU и цену для «Яблоко»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-037; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 65 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-021,ING-039,Выбрать закупочный SKU и цену для «Сок лимона»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-039; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 10 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-022,ING-040,Выбрать закупочный SKU и цену для «Мёд»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-040; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 18 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-023,ING-041,Выбрать закупочный SKU и цену для «Горчица»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-041; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 17 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-024,ING-042,Утвердить точную спецификацию и модель make/buy для «Семена или ореховая крошка»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-042; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 5 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-025,ING-044,Выбрать закупочный SKU и цену для «Сыр фета»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-044; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 50 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-026,ING-045,Выбрать закупочный SKU и цену для «Оливки»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-045; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 21 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-027,ING-047,Выбрать закупочный SKU и цену для «Орегано и соль»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-047; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 1 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
CPD-028,ING-048,Утвердить точную спецификацию и модель make/buy для «Свёкла отварная»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-048; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 95 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-029,ING-049,Утвердить точную спецификацию и модель make/buy для «Картофель отварной»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-049; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 65 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-030,ING-050,Утвердить точную спецификацию и модель make/buy для «Морковь отварная»,A: собственный VSF с утвержденной рецептурой и выходом; B: готовый покупной SKU; C: исключить/заменить через Chef change control,Chef сначала фиксирует один состав/make-buy и выход; затем Procurement получает 3 сопоставимых КП,RAW_MATERIAL_PRICE_REGISTER:ING-050; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 38 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Chef + Owner + Procurement,Chef-approved exact specification/make-buy + approved yield/recipe when made in-house + dated comparable supplier quotation(s) normalized to RUB/kg,OPEN
CPD-031,ING-051,Выбрать закупочный SKU и цену для «Огурец солёный»,A: HoReCa SKU по 3 сопоставимым КП; B: временный retail benchmark точного SKU; C: заменить ингредиент через Chef change control,"Получить минимум 3 сопоставимых КП HoReCa и выбрать landed price с НДС, доставкой и MOQ",RAW_MATERIAL_PRICE_REGISTER:ING-051; recipe blob c6b22ad5f2812cc989a0d3593f40e21207da8f53,Неизвестная стоимость входит в 57 г суммарного draft gross usage; полный COGS затронутых блюд заблокирован,"Проектная цена, food cost и маржа остаются недостоверными; опубликован только нижний предел известных затрат",Спецификация SKU/make-buy может менять аллергены и safety profile; передать FoodSafetyAgent после решения,"При выборе собственного VSF проверить операции, партии и оборудование; покупной SKU может изменить нагрузку",Owner + Procurement,"Selected exact SKU + dated supplier quotation with net/drained mass, VAT, delivery, MOQ and normalized landed RUB/kg",OPEN
