dish_code,recipe_version,freeze_status,chef_status,safety_veto,accepted_handoffs,change_control,open_blockers
VKM-011,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-012,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-013,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-014,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-015,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-016,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-017,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-018,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-019,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-020,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-021,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-022,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-023,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-024,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-025,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-029,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-030,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
VKM-031,0.1.0-DRAFT,FROZEN_FOR_DOWNSTREAM_WITH_CONDITIONS,DRAFT_WITH_ASSUMPTIONS,BLOCK,"HOF-0002;HOF-0003;HOF-0004",CHANGE_REQUEST_REQUIRED,"GAP-001;GAP-002;GAP-004;GAP-005;GAP-006;GAP-010;GAP-011"
