gap_id,parameter_family,dish_scope,missing_input,current_status,reason,impact,confirmation_owner,next_action,checkpoint,linked_evidence_ids
GAP-015,recipe cost,ALL_28,frozen recipe VSF DAG and accepted prices,BLOCKED,upstream inputs absent,cost food cost and margin unavailable,CostingPricingAgent,calculate after Gate B and price acceptance,Gate C,EVD-0018;EVD-0020
GAP-016,selling price/channel economics,ALL_28,owner price decisions channel commissions packaging and applicable tax,BLOCKED,no approved commercial/tax inputs,project price margin and sensitivity incomplete,Owner / Finance / Tax,document inputs and issue approval decision,Gate C / Owner Gate,EVD-0019;EVD-0020
GAP-017,equipment functions,ALL_28,operation-to-function confirmation from frozen process,ESTIMATE,recipe process not frozen,resource maps provisional,EquipmentCapacityAgent,reconcile every operation after Gate B,Gate C,EVD-0021
GAP-018,equipment capacity,ALL_28,manufacturer passports and observed batch tests,BLOCKED,register uses estimates,batches duration and throughput cannot be factual,Procurement / Engineering,collect passports and validate representative loads,Issue #43 / Gate C,EVD-0022
GAP-019,equipment availability/connections,ALL_28,asset register condition acts plans and technical conditions,BLOCKED,ownership and utilities unconfirmed,cannot deem equipment usable,Engineering / Owner,obtain DOC-INV-001/003/004/011 and acceptance evidence,Issue #43/#50,EVD-0023
GAP-020,bottlenecks,ALL_28,validated demand mix staffing and timed production,BLOCKED_PENDING_VALIDATION,current profiles are preliminary,capacity conclusion remains estimate,Operations / Engineering,run peak-load and control-production tests,Issue #37/#43,EVD-0024
GAP-021,inventory,ALL_28,chef/operations specification quantities and acceptance,ESTIMATE,CAPEX list is not dish resource approval,execution and CAPEX may be incomplete,Operations / Procurement,reconcile per-dish operations to inventory,Gate C,EVD-0025
GAP-022,tableware,ALL_28,approved serving matrix turnover and breakage reserve,BLOCKED,V-I-118 open,service and CAPEX cards incomplete,Operations / Owner,prepare 28-dish serving matrix and verify stock,Issue #53 / Gate C,EVD-0026
GAP-023,nutrition,ALL_28,accepted ingredient composition sources and frozen net recipes,BLOCKED,no source values or recipes,PFC and energy cannot be calculated,NutritionDataAgent / Procurement,register sources then calculate without zero-filling,Gate C,EVD-0027;EVD-0028
GAP-024,approval,ALL_28,signed chef and owner decisions,BLOCKED,agents cannot approve,all dishes remain below APPROVED,Chef / Owner,review decision pack and sign per dish,Owner/Chef Gate,EVD-0029
GAP-025,control cook,ALL_28,completed signed forms with measurements and deviations,BLOCKED_PENDING_VALIDATION,no simulated results allowed,readiness and factual yield remain blocked,Chef / Operations,execute Control Cook Plan after draft package,Issue #37 / Owner Gate,EVD-0030
GAP-026,Excel architecture,ALL_28,reviewed extension from 10 to 17 mandatory sheets,DRAFT,PR81 is incomplete reference,Issue #82 deliverable cannot reuse workbook unchanged,ExcelBuilder,review builder and implement accepted 17-sheet data contract,Gate D,EVD-0031
