vsf_code,batch_variant_id,recipe_version,projected_output_g,partial_known_batch_cost_rub,complete_batch_cost_rub,cost_rub_per_output_g,missing_price_or_child_ids,cost_status,calculation_method,double_counting_check,evidence_ids,limitations
VSF-006,VSF-006@BASE,0.1.0-DRAFT,85,25.87503,,,ING-025;ING-029,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-007,VSF-007@BASE,0.1.0-DRAFT,30,,,,ING-005;ING-006;ING-032;ING-033,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-008,VSF-008@BASE,0.1.0-DRAFT,20,,,,ING-024;ING-039;ING-040;ING-041,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-009,VSF-009@BASE,0.1.0-DRAFT,10,,,,ING-005;ING-039;ING-047,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-010,VSF-010@BASE,0.1.0-DRAFT,160,,,,ING-048;ING-049;ING-050,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-011,VSF-011@VKM-023,0.1.0-DRAFT,150,,,,ING-024;ING-033;ING-063;ING-072,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-012,VSF-012@BASE,0.1.0-DRAFT,20,,,,ING-005;ING-007;ING-062;ING-063,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-013,VSF-013@BASE,0.1.0-DRAFT,20,0.48594,,,ING-002;ING-024;ING-065,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-014,VSF-014@BASE,0.1.0-DRAFT,180,0.48594,,,ING-031;ING-038;ING-043;ING-064;VSF-013,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-015,VSF-015@BASE,0.1.0-DRAFT,33,,,,ING-024;ING-067,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-016,VSF-016@BASE,0.1.0-DRAFT,15,,,,ING-041;ING-068;ING-069,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-017,VSF-017@BASE,0.1.0-DRAFT,145,,,,ING-070,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-018,VSF-018@BASE,0.1.0-DRAFT,105,0.94981,,,ING-006;ING-016;ING-024;ING-071,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-019,VSF-019@BASE,0.1.0-DRAFT,85,63.309396,,,ING-041;ING-078,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-020,VSF-020@BASE,0.1.0-DRAFT,120,,,,ING-080;ING-081;ING-082;ING-083,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-021,VSF-021@BASE,0.1.0-DRAFT,150,138.24825,,,ING-089,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-022,VSF-022@BASE,0.1.0-DRAFT,25,,,,ING-094;ING-095,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-023,VSF-023@BASE,0.1.0-DRAFT,220,289.93245,289.93245,1.317875,,CALCULATED,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-024,VSF-024@BASE,0.1.0-DRAFT,40,11.110556,,,ING-098,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-025,VSF-025@BASE,0.1.0-DRAFT,138,,,,ING-100;ING-101,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-026,VSF-026@BASE,0.1.0-DRAFT,130,,,,ING-043;ING-084;ING-102;ING-103,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-027,VSF-027@BASE,0.1.0-DRAFT,607,167.080722,,,ING-025;ING-104;ING-105;ING-106,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-028,VSF-028@BASE,0.1.0-DRAFT,700,503.98035,,,ING-109,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-029,VSF-029@BASE,0.1.0-DRAFT,300,163.6593,,,ING-002;ING-110,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-030,VSF-030@BASE,0.1.0-DRAFT,150,,,,ING-111,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-031,VSF-031@BASE,0.1.0-DRAFT,600,218.065,,,ING-104;ING-106;ING-109,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-032,VSF-032@BASE,0.1.0-DRAFT,350,179.159433,,,ING-106,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-033,VSF-033@BASE,0.1.0-DRAFT,200,119.9958,,,ING-109,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
VSF-034,VSF-034@BASE,0.1.0-DRAFT,600,225.788244,,,ING-025;ING-040;ING-104;ING-105;ING-106;ING-113,BLOCKED_PENDING_VALIDATION,SUM(raw gross_g/1000*selected RUB/kg + child VSF qty_g*child RUB/g); each child charged once,PASS,HOF-0002;HOF-0004;PRICE_SOURCE_REGISTER,Draft yield/recipe and retail benchmarks; not approved procurement cost
