record_id,dish_code,cost_card_code,tech_card_code,menu_section,dish_name,production_sales_unit,draft_target_output,output_unit,production_model,channels,recipe_version,dish_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,next_action
DSP-011,VKM-011,VKC-011,VKT-011,Салаты,Греческий,1 порция,270,г,Сборка Кухни,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-012,VKM-012,VKC-012,VKT-012,Салаты,Винегрет,1 порция,240,г,Собственные полуфабрикаты и сборка,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-013,VKM-013,VKC-013,VKT-013,Холодные закуски,Слабосолёный лосось,1 порция,130,г,Готовое филе поставщика; порционирование Кухни,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-014,VKM-014,VKC-014,VKT-014,Холодные закуски,Сельдь с запечённым картофелем,1 порция,250,г,Разделка и сборка Кухни,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-015,VKM-015,VKC-015,VKT-015,Холодные закуски,Оливки и маслины,1 порция,120,г,Подготовка и маринование Кухни,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-016,VKM-016,VKC-016,VKT-016,Холодные закуски,Ассорти фирменных солений,1 порция,180,г,Раздельное быстрое маринование,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-017,VKM-017,VKC-017,VKT-017,Холодные закуски,Ростбиф с луком и гренкой,1 порция,180,г,Готовый охлаждённый ростбиф; сборка Кухни,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-018,VKM-018,VKC-018,VKT-018,Супы,Традиционный красный борщ,1 гостевая подача,400,г,Собственное производство,À la carte; Бизнес-ланч,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-019,VKM-019,VKC-019,VKT-019,Горячие блюда,Мурманская треска со сливочно-горчичным соусом,1 порция,300,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-020,VKM-020,VKC-020,VKT-020,Горячие блюда,Креветки по-тайски,1 порция,360,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-021,VKM-021,VKC-021,VKT-021,Горячие блюда,Бургер VARSHAVKA,1 бургер,350,г,"Котлета, бриошь и сборка Кухни",À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-022,VKM-022,VKC-022,VKT-022,Горячие блюда,Миньоны из говяжьей вырезки,"1 порция, 2 миньона",300,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины; Доставка,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-023,VKM-023,VKC-023,VKT-023,Гарниры,Запечённый картофель,1 порция,150,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-024,VKM-024,VKC-024,VKT-024,Гарниры,Рис жасмин,1 порция,150,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-025,VKM-025,VKC-025,VKT-025,Гарниры,Горячие овощи,1 порция,150,г,Собственное производство,À la carte; Бизнес-ланч; Гостиничные ужины,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-026,VKM-029,VKC-029,VKT-029,Десерты,Черничный торт VARSHAVKA,1 торт / 12 порций,1800,г,Собственное производство,À la carte; Навынос,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-027,VKM-030,VKC-030,VKT-030,Десерты,Кростата с солёной карамелью,1 кростата / 10 порций,1200,г,Собственное производство,À la carte; Гостиничные ужины; Навынос,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
DSP-028,VKM-031,VKC-031,VKT-031,Десерты,Мадлен,партия 20 шт. / продажа 2 шт.,600,г,Собственное производство,À la carte; Навынос,0.1.0-DRAFT,DRAFT_WITH_ASSUMPTIONS,EVD-0003;EVD-0004;EVD-0005;EVD-0007,Меню фиксирует идентичность; выход и рецептура являются проектом ChefTechnologyAgent,2026-08-03,Chef / Owner,GAP-001;GAP-002;GAP-004;GAP-005,Контрольная проработка и построчное решение шеф-повара
