resource_card_id,dish_code,dish_name,menu_section,recipe_version,primary_area,operation_count,mapped_operation_count,functional_codes,conditional_candidate_codes,vsf_codes,draft_active_time,active_time_unit,draft_total_time,total_time_unit,recipe_batch_basis,recipe_batch_output,output_unit,preliminary_recipe_batches,preliminary_batch_status,capacity_demand_qty,capacity_demand_unit,required_equipment_batches,capacity_status,inventory_set_code,tableware_set_code,service_flow_codes,availability_status,connections_status,bottleneck_status,parameter_status,evidence_ids,source_date,blocker_ids,confirmation_owner,next_action
RSC-011,VKM-011,Греческий,Салаты,0.1.0-DRAFT,Холодный участок,4,4,CLD-03;CLD-07,CLD-09,VSF-009,10,мин,12,мин,One current draft recipe/card unit only; not a production-plan batch,270,г,1,CALCULATED,,,,BLOCKED,INVSET-011,TWS-011,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-012,VKM-012,Винегрет,Салаты,0.1.0-DRAFT,Холодный участок,5,5,CLD-03;CLD-07;HOT-09;STO-10,CLD-09,VSF-010,18,мин,90,мин,One current draft recipe/card unit only; not a production-plan batch,240,г,1,CALCULATED,,,,BLOCKED,INVSET-012,TWS-012,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-013,VKM-013,Слабосолёный лосось,Холодные закуски,0.1.0-DRAFT,Холодный участок,5,5,CLD-03;CLD-07,CLD-09,,7,мин,10,мин,One current draft recipe/card unit only; not a production-plan batch,130,г,1,CALCULATED,,,,BLOCKED,INVSET-013,TWS-013,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-014,VKM-014,Сельдь с запечённым картофелем,Холодные закуски,0.1.0-DRAFT,Холодный участок,4,4,HOT-01;CLD-03;CLD-07;HOT-09;STO-10,,VSF-011,14,мин,55,мин,One current draft recipe/card unit only; not a production-plan batch,250,г,1,CALCULATED,,,,BLOCKED,INVSET-014,TWS-014,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-015,VKM-015,Оливки и маслины,Холодные закуски,0.1.0-DRAFT,Холодный участок,5,5,CLD-03;CLD-07,CLD-09,VSF-012,8,мин,40,мин,One current draft recipe/card unit only; not a production-plan batch,120,г,1,CALCULATED,,,,BLOCKED,INVSET-015,TWS-015,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-016,VKM-016,Ассорти фирменных солений,Холодные закуски,0.1.0-DRAFT,Холодный участок,4,4,CLD-03;CLD-07,CLD-09,VSF-014,23,мин,70,мин,One current draft recipe/card unit only; not a production-plan batch,180,г,1,CALCULATED,,,,BLOCKED,INVSET-016,TWS-016,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-017,VKM-017,Ростбиф с луком и гренкой,Холодные закуски,0.1.0-DRAFT,Холодный участок,5,5,CLD-03;CLD-07;BAK-02,CLD-09;CLD-08,VSF-015;VSF-016,12,мин,18,мин,One current draft recipe/card unit only; not a production-plan batch,180,г,1,CALCULATED,,,,BLOCKED,INVSET-017,TWS-017,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-018,VKM-018,Традиционный красный борщ,Супы,0.1.0-DRAFT,Горячий участок,6,6,HOT-05A;HOT-13;HOT-12,CLD-09,VSF-017;VSF-018,35,мин,180,мин,One current draft recipe/card unit only; not a production-plan batch,400,г,1,CALCULATED,,,,BLOCKED,INVSET-018,TWS-018,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-019,VKM-019,Мурманская треска со сливочно-горчичным соусом,Горячие блюда,0.1.0-DRAFT,Горячий участок,5,5,HOT-01;HOT-13;HOT-05B;HOT-12,,VSF-019,18,мин,28,мин,One current draft recipe/card unit only; not a production-plan batch,300,г,1,CALCULATED,,,,BLOCKED,INVSET-019,TWS-019,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-020,VKM-020,Креветки по-тайски,Горячие блюда,0.1.0-DRAFT,Горячий участок,5,5,HOT-03;HOT-13;HOT-02;HOT-12,,VSF-020,20,мин,30,мин,One current draft recipe/card unit only; not a production-plan batch,360,г,1,CALCULATED,,,,BLOCKED,INVSET-020,TWS-020,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-021,VKM-021,Бургер VARSHAVKA,Горячие блюда,0.1.0-DRAFT,Горячий участок,5,5,HOT-02;HOT-13;HOT-12,,VSF-006;VSF-021;VSF-022,15,мин,25,мин,One current draft recipe/card unit only; not a production-plan batch,350,г,1,CALCULATED,,,,BLOCKED,INVSET-021,TWS-021,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-022,VKM-022,Миньоны из говяжьей вырезки,Горячие блюда,0.1.0-DRAFT,Горячий участок,6,6,HOT-02;HOT-13;HOT-12;HOT-05B,CLD-08,VSF-023;VSF-024,22,мин,35,мин,One current draft recipe/card unit only; not a production-plan batch,300,г,1,CALCULATED,,,,BLOCKED,INVSET-022,TWS-022,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-023,VKM-023,Запечённый картофель,Гарниры,0.1.0-DRAFT,Горячий участок,5,5,HOT-12;HOT-13;HOT-01,CLD-09,VSF-011,13,мин,45,мин,One current draft recipe/card unit only; not a production-plan batch,150,г,1,CALCULATED,,,,BLOCKED,INVSET-023,TWS-023,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-024,VKM-024,Рис жасмин,Гарниры,0.1.0-DRAFT,Горячий участок,6,6,HOT-06;HOT-13;HOT-12,CLD-09,VSF-025,8,мин,35,мин,One current draft recipe/card unit only; not a production-plan batch,150,г,1,CALCULATED,,,,BLOCKED,INVSET-024,TWS-024,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-025,VKM-025,Горячие овощи,Гарниры,0.1.0-DRAFT,Горячий участок,5,5,HOT-12;HOT-13;HOT-03,CLD-09,VSF-026,15,мин,22,мин,One current draft recipe/card unit only; not a production-plan batch,150,г,1,CALCULATED,,,,BLOCKED,INVSET-025,TWS-025,DSP-01;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-026,VKM-029,Черничный торт VARSHAVKA,Десерты,0.1.0-DRAFT,"Пицца, хлеб, десерты",7,7,BAK-04;BAK-02;BAK-07;BAK-06;STO-09;HOT-05B,,VSF-027;VSF-028;VSF-029;VSF-030,120,мин,600,мин,One current draft recipe/card unit only; not a production-plan batch,1800,г,1,CALCULATED,,,,BLOCKED,INVSET-026,TWS-026,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-027,VKM-030,Кростата с солёной карамелью,Десерты,0.1.0-DRAFT,"Пицца, хлеб, десерты",8,8,BAK-04;BAK-07;BAK-06;STO-09;BAK-02;HOT-05B,,VSF-031;VSF-032;VSF-033,90,мин,420,мин,One current draft recipe/card unit only; not a production-plan batch,1200,г,1,CALCULATED,,,,BLOCKED,INVSET-027,TWS-027,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
RSC-028,VKM-031,Мадлен,Десерты,0.1.0-DRAFT,"Пицца, хлеб, десерты",6,6,BAK-04;BAK-07;STO-09;BAK-02;BAK-06,,VSF-034,30,мин,120,мин,One current draft recipe/card unit only; not a production-plan batch,600,г,1,CALCULATED,,,,BLOCKED,INVSET-028,TWS-028,DSP-04;DSP-05;DSP-10,BLOCKED,BLOCKED,BLOCKED_PENDING_VALIDATION,ESTIMATE,EVD-0010;EVD-0021;EVD-0022;EVD-0023;EVD-0024;EVD-0025;EVD-0026,2026-08-03,GAP-007;GAP-017;GAP-018;GAP-019;GAP-020;GAP-021;GAP-022,Operations / Engineering / Procurement / Owner,Freeze process; approve peak demand; collect passports/asset/connection evidence; run timed batch and serving-matrix validation
