ingredient_id,ingredient_name,scenario_price_rub_per_kg,benchmark_type,benchmark_id,benchmark_description,source_url,source_date,conversion_or_mapping,confidence,scenario_status,procurement_block,limitation
ING-011,Базилик свежий,1599.92,PUBLIC_CATEGORY_PROXY,PXY-015,Шпинат свежий,https://lenta.com/product/salat-shpinat-125g-239489/,2026-08-03,Public category benchmark PXY-015; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-012,Горгонзола,1799.9,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0021;PSR-0023,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-013,Фонтина или иной четвёртый сыр,909.975,PUBLIC_CATEGORY_PROXY,ING-009,Proxy from ING-009: Моцарелла,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-009; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-014,Ветчина,1444.333333,PUBLIC_CATEGORY_PROXY,ING-017,Proxy from ING-017: Пепперони,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-017; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-015,Шампиньоны,479.96,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0074,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-016,Лук репчатый,48.9,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0071,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-017,Пепперони,1444.333333,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0075,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-018,Пюре томатное,319.98,PUBLIC_CATEGORY_PROXY,ING-006,Proxy from ING-006: Томаты протёртые,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-006; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-019,Томаты вяленые,319.98,PUBLIC_CATEGORY_PROXY,ING-006,Proxy from ING-006: Томаты протёртые,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-006; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-020,Мука ржаная,69.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0070,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-021,Солод ржаной,69.99,PUBLIC_CATEGORY_PROXY,ING-020,Proxy from ING-020: Мука ржаная,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-020; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-022,Патока,99.99,PUBLIC_CATEGORY_PROXY,ING-028,Proxy from ING-028: Сахар,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-028; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-023,Кориандр,380,PUBLIC_CATEGORY_PROXY,ING-007,Proxy from ING-007: Чеснок,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-007; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-024,Масло растительное,142.846154,PUBLIC_CATEGORY_PROXY,PXY-003,Масло подсолнечное ОЛЕЙНА рафинированное,https://lenta.com/product/maslo-podsolnechnoe-1-sort-rossiya-1000ml-8301/,2026-08-03,Public category benchmark PXY-003; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-025,Молоко,67.951456,PUBLIC_CATEGORY_PROXY,PXY-004,Молоко PARMALAT Edge 1.8%,https://lenta.com/product/moloko-upast-edge-18-bez-zmzh-rossiya-1000ml-70492/,2026-08-03,Public category benchmark PXY-004; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-026,Яйцо или меланж,401.666667,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0009,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-027,Масло сливочное,1111.055556,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0010,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-028,Сахар,99.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0013,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-029,Меланж для смазки,401.666667,PUBLIC_CATEGORY_PROXY,ING-026,Proxy from ING-026: Яйцо или меланж,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-026; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-030,Буррата,1536.593333,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0025;PSR-0026;PSR-0027;PSR-0028,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-031,Томаты свежие,319.98,PUBLIC_CATEGORY_PROXY,ING-006,Proxy from ING-006: Томаты протёртые,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-006; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-032,Уксус бальзамический,277.207921,PUBLIC_CATEGORY_PROXY,PXY-005,Уксус бальзамический VARVELLO 6%,https://lenta.com/product/uksus-balzamicheskijj-iz-modeny-6-italiya-500ml-346487/,2026-08-03,Public category benchmark PXY-005; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-033,Соль и специи,42.99,PUBLIC_CATEGORY_PROXY,ING-004,Proxy from ING-004: Соль пищевая,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-004; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-034,Салатная зелень,1599.92,PUBLIC_CATEGORY_PROXY,PXY-015,Шпинат свежий,https://lenta.com/product/salat-shpinat-125g-239489/,2026-08-03,Public category benchmark PXY-015; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-035,Салатный микс,1599.92,PUBLIC_CATEGORY_PROXY,PXY-015,Шпинат свежий,https://lenta.com/product/salat-shpinat-125g-239489/,2026-08-03,Public category benchmark PXY-015; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-036,Креветки очищенные,1659.98,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0031;PSR-0032;PSR-0033;PSR-0034;PSR-0035,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-037,Яблоко,52.495,PUBLIC_CATEGORY_PROXY,ING-074,Proxy from ING-074: Морковь,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-074; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-038,Огурец свежий,145,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0072,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-039,Сок лимона,160,PUBLIC_CATEGORY_PROXY,ING-055,Proxy from ING-055: Лимон,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-055; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-040,Мёд,299.98,PUBLIC_CATEGORY_PROXY,PXY-012,Мед натуральный цветочный Майский,https://lenta.com/product/med-naturalnyjj-cvetochnyjj-majjskijj-rossiya-500g-916745/,2026-08-03,Public category benchmark PXY-012; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-041,Горчица,335.642857,PUBLIC_CATEGORY_PROXY,PXY-010,Горчица МАХЕЕВЪ Русская,https://lenta.com/product/gorchica-russkaya-rossiya-140g-309783/,2026-08-03,Public category benchmark PXY-010; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-042,Семена или ореховая крошка,783.3,PUBLIC_CATEGORY_PROXY,ING-107,Proxy from ING-107: Черника,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-107; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-043,Перец сладкий,305,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0073,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-044,Сыр фета,909.975,PUBLIC_CATEGORY_PROXY,ING-009,Proxy from ING-009: Моцарелла,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-009; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-045,Оливки,866.633333,PUBLIC_CATEGORY_PROXY,PXY-013,Оливки ITLV зеленые без косточки,https://lenta.com/product/olivki-bk-zelenye-klyuch-ispaniya-300g-7462/,2026-08-03,Public category benchmark PXY-013; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-046,Лук красный,130,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0077,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-047,Орегано и соль,42.99,PUBLIC_CATEGORY_PROXY,ING-004,Proxy from ING-004: Соль пищевая,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-004; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-048,Свёкла отварная,39,PUBLIC_CATEGORY_PROXY,ING-071,Proxy from ING-071: Свёкла,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-071; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-049,Картофель отварной,99.99,PUBLIC_CATEGORY_PROXY,ING-072,Proxy from ING-072: Картофель,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-072; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-050,Морковь отварная,52.495,PUBLIC_CATEGORY_PROXY,ING-074,Proxy from ING-074: Морковь,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-074; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-051,Огурец солёный,145,PUBLIC_CATEGORY_PROXY,ING-038,Proxy from ING-038: Огурец свежий,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-038; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-052,Капуста квашеная,49.99,PUBLIC_CATEGORY_PROXY,ING-064,Proxy from ING-064: Капуста белокочанная,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-064; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-053,Горошек консервированный без заливки,299.975,PUBLIC_CATEGORY_PROXY,PXY-014,Горошек ДЯДЯ ВАНЯ консервированный,https://lenta.com/product/goroshek-zelenyjj-konservirovannyjj-zhb-rossiya-400g-132994/,2026-08-03,Public category benchmark PXY-014; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-054,"Лосось слабосолёный, готовое филе",3999.966667,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0038;PSR-0040;PSR-0041,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,MEDIUM,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-055,Лимон,160,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0081,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-056,Каперсы,866.633333,PUBLIC_CATEGORY_PROXY,PXY-013,Оливки ITLV зеленые без косточки,https://lenta.com/product/olivki-bk-zelenye-klyuch-ispaniya-300g-7462/,2026-08-03,Public category benchmark PXY-013; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-057,"Сельдь, филе",519.96,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0076,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-058,Картофель запечённый,99.99,PUBLIC_CATEGORY_PROXY,ING-072,Proxy from ING-072: Картофель,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-072; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-059,Зелень,1599.92,PUBLIC_CATEGORY_PROXY,PXY-015,Шпинат свежий,https://lenta.com/product/salat-shpinat-125g-239489/,2026-08-03,Public category benchmark PXY-015; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-060,Оливки зелёные без заливки,866.633333,PUBLIC_CATEGORY_PROXY,PXY-013,Оливки ITLV зеленые без косточки,https://lenta.com/product/olivki-bk-zelenye-klyuch-ispaniya-300g-7462/,2026-08-03,Public category benchmark PXY-013; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-061,Маслины без заливки,866.633333,PUBLIC_CATEGORY_PROXY,PXY-013,Оливки ITLV зеленые без косточки,https://lenta.com/product/olivki-bk-zelenye-klyuch-ispaniya-300g-7462/,2026-08-03,Public category benchmark PXY-013; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-062,Цедра цитрусовая,160,PUBLIC_CATEGORY_PROXY,ING-055,Proxy from ING-055: Лимон,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-055; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-063,Пряные травы,380,PUBLIC_CATEGORY_PROXY,ING-007,Proxy from ING-007: Чеснок,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-007; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-064,Капуста белокочанная,49.99,DIRECT_EVIDENCE_CARRY_FORWARD,PSR-0078,Selected dated public RUB/kg observation from evidence layer,PRICE_SOURCE_REGISTER.csv,2026-08-03,No scenario proxy; evidence-layer selected value carried forward,LOW_CONFIDENCE,EVIDENCE_BENCHMARK_NOT_APPROVED,OPEN,Retail benchmark is not an approved landed procurement price
ING-065,Уксус пищевой,277.207921,PUBLIC_CATEGORY_PROXY,PXY-005,Уксус бальзамический VARVELLO 6%,https://lenta.com/product/uksus-balzamicheskijj-iz-modeny-6-italiya-500ml-346487/,2026-08-03,Public category benchmark PXY-005; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-066,Ростбиф охлаждённый готовый,1136.99,PUBLIC_CATEGORY_PROXY,ING-097,Proxy from ING-097: Говяжья вырезка,PRICE_SOURCE_REGISTER.csv,2026-08-03,"Category/process proxy to selected evidence benchmark ING-097; yield, preparation and SKU differences excluded",LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-067,Хлеб для гренки,297.851064,PUBLIC_CATEGORY_PROXY,PXY-011,Хлеб HARRY'S American sandwich,https://lenta.com/product/hleb-american-sandwich-pshenichnyjj-rossiya-470g-27224/,2026-08-03,Public category benchmark PXY-011; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-068,Майонез или эмульсионный соус,189.975,PUBLIC_CATEGORY_PROXY,PXY-006,Майонез ЯНТА Провансаль 67%,https://lenta.com/product/majjonez-provansal-67-dp-rossiya-400g-364099/,2026-08-03,Public category benchmark PXY-006; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
ING-069,Сок мясной или бульон,43.326667,PUBLIC_CATEGORY_PROXY,PXY-001,Вода питьевая СВЯТОЙ ИСТОЧНИК негазированная,https://lenta.com/product/voda-pitevaya-prirodnaya-negaz-pet-rossiya-15l-47182/,2026-08-03,Public category benchmark PXY-001; product/SKU equivalence is not asserted,LOW_CONFIDENCE,ASSUMPTION_BLOCKED_PENDING_VALIDATION,OPEN,"Planning proxy only; not exact SKU/recipe component, quotation or approved price"
