record_id,proposed_vsf_code,candidate_name,linked_dish_codes,reason_for_separation,reuse_candidate,recipe_version,candidate_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,next_action,limitation
SFC-011,VSF-011,Картофель запечённый для закуски,VKM-014;VKM-023,Возможная связь с самостоятельным гарниром,Да,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-012,VSF-012,Маринад оливок,VKM-015,Отдельный маринад,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-013,VSF-013,Быстрый маринад для солений,VKM-016,Отдельный маринад,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-014,VSF-014,Ассорти быстрых солений,VKM-016,Групповая партия,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-015,VSF-015,Гренка,VKM-017,Отдельно производимый компонент,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-016,VSF-016,Соус к ростбифу,VKM-017,Отдельно дозируемый соус,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-017,VSF-017,Бульон мясной,VKM-018,Длительная групповая партия,Да,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-018,VSF-018,Пассеровка свекольная,VKM-018,Вложенный компонент супа,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-019,VSF-019,Соус сливочно-горчичный,VKM-019,Отдельный соус,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-020,VSF-020,Соус кокосовый тайский,VKM-020,Отдельный соус,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-021,VSF-021,Котлета для бургера,VKM-021,Партия формованных изделий,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-022,VSF-022,Соус для бургера,VKM-021,Отдельный соус,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-023,VSF-023,Миньоны порционные,VKM-022,Порционная мясная заготовка,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-024,VSF-024,Соус к миньонам,VKM-022,Отдельный соус,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-025,VSF-025,Рис жасмин варёный,VKM-024,Групповая партия,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-026,VSF-026,Овощная смесь подготовленная,VKM-025,Групповая подготовка,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-027,VSF-027,Бисквит черничного торта,VKM-029,Вложенный кондитерский компонент,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-028,VSF-028,Черничный крем,VKM-029,Вложенный кондитерский компонент,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-029,VSF-029,Черничное компоте,VKM-029,Вложенный кондитерский компонент,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-030,VSF-030,Глазурь торта,VKM-029,Вложенный кондитерский компонент,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-031,VSF-031,Песочное тесто кростаты,VKM-030,Вложенный кондитерский компонент,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-032,VSF-032,Солёная карамель,VKM-030,Вложенный кондитерский компонент,Да,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-033,VSF-033,Крем кростаты,VKM-030,Вложенный кондитерский компонент,Возможно,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
SFC-034,VSF-034,Тесто мадлен,VKM-031,Групповая партия,Нет,0.1.0-DRAFT,CANDIDATE,EVD-0009,ChefTechnologyAgent identification only; composition is visible in flattened recipe rows but batch yield/DAG not approved,2026-08-03,SemiFinishedProductsAgent / Chef,GAP-006,"Создать отдельную карту, размер партии и ациклический DAG; проверить отсутствие двойного учёта",Не является окончательным DAG или принятой картой полуфабриката
