semi_recipe_line_id,vsf_code,batch_variant_id,line_order,component_type,ingredient_id,ingredient_name,child_vsf_code,gross_qty,gross_unit,net_qty,net_unit,projected_output_contribution,output_unit,source_dish_code,source_recipe_line_ids,parameter_status,evidence_ids,method_or_source_note,source_date,confirmation_owner,blocker_ids,cost_inclusion_rule
SFR-0011,VSF-001,VSF-001@VKM-003,1,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,140,г,140,г,130,г,VKM-003,RCP-0028,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0012,VSF-001,VSF-001@VKM-003,2,RAW_INPUT,ING-002,Вода питьевая,null,85,г,85,г,70,г,VKM-003,RCP-0029,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0013,VSF-001,VSF-001@VKM-003,3,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,2,г,2,г,2,г,VKM-003,RCP-0030,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0014,VSF-001,VSF-001@VKM-003,4,RAW_INPUT,ING-004,Соль пищевая,null,3,г,3,г,3,г,VKM-003,RCP-0031,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0015,VSF-001,VSF-001@VKM-003,5,RAW_INPUT,ING-005,Масло оливковое,null,15,г,15,г,15,г,VKM-003,RCP-0032,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0016,VSF-001,VSF-001@VKM-004,1,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,140,г,140,г,130,г,VKM-004,RCP-0042,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0017,VSF-001,VSF-001@VKM-004,2,RAW_INPUT,ING-002,Вода питьевая,null,85,г,85,г,70,г,VKM-004,RCP-0043,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0018,VSF-001,VSF-001@VKM-004,3,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,2,г,2,г,2,г,VKM-004,RCP-0044,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0019,VSF-001,VSF-001@VKM-004,4,RAW_INPUT,ING-004,Соль пищевая,null,3,г,3,г,3,г,VKM-004,RCP-0045,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0020,VSF-001,VSF-001@VKM-004,5,RAW_INPUT,ING-005,Масло оливковое,null,15,г,15,г,15,г,VKM-004,RCP-0046,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0021,VSF-002,VSF-002@VKM-001,1,RAW_INPUT,ING-006,Томаты протёртые,null,70,г,70,г,67,г,VKM-001,RCP-0006,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0022,VSF-002,VSF-002@VKM-001,2,RAW_INPUT,ING-007,Чеснок,null,2.2,г,2,г,2,г,VKM-001,RCP-0007,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0023,VSF-002,VSF-002@VKM-001,3,RAW_INPUT,ING-008,Орегано,null,1,г,1,г,1,г,VKM-001,RCP-0008,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0024,VSF-002,VSF-002@VKM-001,4,RAW_INPUT,ING-005,Масло оливковое,null,10,г,10,г,10,г,VKM-001,RCP-0009,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0025,VSF-002,VSF-002@VKM-002,1,RAW_INPUT,ING-006,Томаты протёртые,null,45,г,45,г,42,г,VKM-002,RCP-0019,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0026,VSF-002,VSF-002@VKM-002,2,RAW_INPUT,ING-007,Чеснок,null,2.2,г,2,г,2,г,VKM-002,RCP-0020,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0027,VSF-002,VSF-002@VKM-002,3,RAW_INPUT,ING-008,Орегано,null,1,г,1,г,1,г,VKM-002,RCP-0021,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0028,VSF-002,VSF-002@VKM-002,4,RAW_INPUT,ING-005,Масло оливковое,null,5,г,5,г,5,г,VKM-002,RCP-0022,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0029,VSF-002,VSF-002@VKM-003,1,RAW_INPUT,ING-006,Томаты протёртые,null,63,г,63,г,60,г,VKM-003,RCP-0033,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0030,VSF-002,VSF-002@VKM-003,2,RAW_INPUT,ING-007,Чеснок,null,2.2,г,2,г,2,г,VKM-003,RCP-0034,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0031,VSF-002,VSF-002@VKM-003,3,RAW_INPUT,ING-008,Орегано,null,1,г,1,г,1,г,VKM-003,RCP-0035,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0032,VSF-002,VSF-002@VKM-003,4,RAW_INPUT,ING-005,Масло оливковое,null,7,г,7,г,7,г,VKM-003,RCP-0036,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0033,VSF-002,VSF-002@VKM-004,1,RAW_INPUT,ING-006,Томаты протёртые,null,63,г,63,г,60,г,VKM-004,RCP-0047,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0034,VSF-002,VSF-002@VKM-004,2,RAW_INPUT,ING-007,Чеснок,null,2.2,г,2,г,2,г,VKM-004,RCP-0048,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0035,VSF-002,VSF-002@VKM-004,3,RAW_INPUT,ING-008,Орегано,null,1,г,1,г,1,г,VKM-004,RCP-0049,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0036,VSF-002,VSF-002@VKM-004,4,RAW_INPUT,ING-005,Масло оливковое,null,7,г,7,г,7,г,VKM-004,RCP-0050,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0037,VSF-003,VSF-003@BASE,1,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,60,г,60,г,55,г,VKM-005,RCP-0054,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0038,VSF-003,VSF-003@BASE,2,RAW_INPUT,ING-002,Вода питьевая,null,40,г,40,г,34,г,VKM-005,RCP-0055,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0039,VSF-003,VSF-003@BASE,3,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,1,г,1,г,1,г,VKM-005,RCP-0056,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0040,VSF-003,VSF-003@BASE,4,RAW_INPUT,ING-004,Соль пищевая,null,2,г,2,г,2,г,VKM-005,RCP-0057,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0041,VSF-003,VSF-003@BASE,5,RAW_INPUT,ING-005,Масло оливковое,null,8,г,8,г,8,г,VKM-005,RCP-0058,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0042,VSF-004,VSF-004@BASE,1,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,55,г,55,г,50,г,VKM-006,RCP-0059,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0043,VSF-004,VSF-004@BASE,2,RAW_INPUT,ING-002,Вода питьевая,null,31,г,31,г,25,г,VKM-006,RCP-0060,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0044,VSF-004,VSF-004@BASE,3,RAW_INPUT,ING-018,Пюре томатное,null,13,г,13,г,12,г,VKM-006,RCP-0061,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0045,VSF-004,VSF-004@BASE,4,RAW_INPUT,ING-019,Томаты вяленые,null,8,г,8,г,8,г,VKM-006,RCP-0062,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0046,VSF-004,VSF-004@BASE,5,RAW_INPUT,ING-005,Масло оливковое,null,3,г,3,г,3,г,VKM-006,RCP-0063,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0047,VSF-004,VSF-004@BASE,6,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,1,г,1,г,1,г,VKM-006,RCP-0064,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0048,VSF-004,VSF-004@BASE,7,RAW_INPUT,ING-004,Соль пищевая,null,1,г,1,г,1,г,VKM-006,RCP-0065,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0049,VSF-005,VSF-005@BASE,1,RAW_INPUT,ING-020,Мука ржаная,null,150,г,150,г,140,г,VKM-007,RCP-0066,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0050,VSF-005,VSF-005@BASE,2,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,75,г,75,г,70,г,VKM-007,RCP-0067,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0051,VSF-005,VSF-005@BASE,3,RAW_INPUT,ING-002,Вода питьевая,null,125,г,125,г,95,г,VKM-007,RCP-0068,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0052,VSF-005,VSF-005@BASE,4,RAW_INPUT,ING-021,Солод ржаной,null,20,г,20,г,20,г,VKM-007,RCP-0069,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0053,VSF-005,VSF-005@BASE,5,RAW_INPUT,ING-022,Патока,null,10,г,10,г,10,г,VKM-007,RCP-0070,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0054,VSF-005,VSF-005@BASE,6,RAW_INPUT,ING-023,Кориандр,null,4,г,4,г,4,г,VKM-007,RCP-0071,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0055,VSF-005,VSF-005@BASE,7,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,3,г,3,г,3,г,VKM-007,RCP-0072,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0056,VSF-005,VSF-005@BASE,8,RAW_INPUT,ING-004,Соль пищевая,null,5,г,5,г,5,г,VKM-007,RCP-0073,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0057,VSF-005,VSF-005@BASE,9,RAW_INPUT,ING-024,Масло растительное,null,3,г,3,г,3,г,VKM-007,RCP-0074,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0058,VSF-006,VSF-006@BASE,1,RAW_INPUT,ING-001,Мука пшеничная хлебопекарная,null,38,г,38,г,35,г,VKM-008,RCP-0075,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0059,VSF-006,VSF-006@BASE,2,RAW_INPUT,ING-025,Молоко,null,13,г,13,г,12,г,VKM-008,RCP-0076,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0060,VSF-006,VSF-006@BASE,3,RAW_INPUT,ING-026,Яйцо или меланж,null,16,г,16,г,15,г,VKM-008,RCP-0077,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0061,VSF-006,VSF-006@BASE,4,RAW_INPUT,ING-027,Масло сливочное,null,15,г,15,г,15,г,VKM-008,RCP-0078,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0062,VSF-006,VSF-006@BASE,5,RAW_INPUT,ING-028,Сахар,null,5,г,5,г,5,г,VKM-008,RCP-0079,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0063,VSF-006,VSF-006@BASE,6,RAW_INPUT,ING-003,Дрожжи хлебопекарные,null,1,г,1,г,1,г,VKM-008,RCP-0080,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0064,VSF-006,VSF-006@BASE,7,RAW_INPUT,ING-004,Соль пищевая,null,1,г,1,г,1,г,VKM-008,RCP-0081,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0065,VSF-006,VSF-006@BASE,8,RAW_INPUT,ING-029,Меланж для смазки,null,1,г,1,г,1,г,VKM-008,RCP-0082,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0066,VSF-007,VSF-007@BASE,1,RAW_INPUT,ING-006,Томаты протёртые,null,15,г,15,г,15,г,VKM-009,RCP-0085,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0067,VSF-007,VSF-007@BASE,2,RAW_INPUT,ING-005,Масло оливковое,null,10,г,10,г,10,г,VKM-009,RCP-0086,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0068,VSF-007,VSF-007@BASE,3,RAW_INPUT,ING-032,Уксус бальзамический,null,3,г,3,г,3,г,VKM-009,RCP-0087,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0069,VSF-007,VSF-007@BASE,4,RAW_INPUT,ING-033,Соль и специи,null,2,г,2,г,2,г,VKM-009,RCP-0088,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0070,VSF-008,VSF-008@BASE,1,RAW_INPUT,ING-024,Масло растительное,null,10,г,10,г,10,г,VKM-010,RCP-0095,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0071,VSF-008,VSF-008@BASE,2,RAW_INPUT,ING-039,Сок лимона,null,7,г,5,г,5,г,VKM-010,RCP-0096,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0072,VSF-008,VSF-008@BASE,3,RAW_INPUT,ING-040,Мёд,null,3,г,3,г,3,г,VKM-010,RCP-0097,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0073,VSF-008,VSF-008@BASE,4,RAW_INPUT,ING-041,Горчица,null,2,г,2,г,2,г,VKM-010,RCP-0098,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0074,VSF-009,VSF-009@BASE,1,RAW_INPUT,ING-005,Масло оливковое,null,7,г,7,г,7,г,VKM-011,RCP-0106,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0075,VSF-009,VSF-009@BASE,2,RAW_INPUT,ING-039,Сок лимона,null,3,г,2,г,2,г,VKM-011,RCP-0107,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0076,VSF-009,VSF-009@BASE,3,RAW_INPUT,ING-047,Орегано и соль,null,1,г,1,г,1,г,VKM-011,RCP-0108,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0077,VSF-010,VSF-010@BASE,1,RAW_INPUT,ING-048,Свёкла отварная,null,95,г,88,г,80,г,VKM-012,RCP-0109,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0078,VSF-010,VSF-010@BASE,2,RAW_INPUT,ING-049,Картофель отварной,null,65,г,58,г,50,г,VKM-012,RCP-0110,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0079,VSF-010,VSF-010@BASE,3,RAW_INPUT,ING-050,Морковь отварная,null,38,г,34,г,30,г,VKM-012,RCP-0111,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0080,VSF-011,VSF-011@VKM-023,1,RAW_INPUT,ING-072,Картофель,null,170,г,150,г,135,г,VKM-023,RCP-0199,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
SFR-0081,VSF-011,VSF-011@VKM-023,2,RAW_INPUT,ING-024,Масло растительное,null,10,г,10,г,10,г,VKM-023,RCP-0200,ASSUMPTION,EVD-0007;EVD-0008,Copied without alteration from accepted HOF-0002 Chef flattened recipe,2026-08-03,Chef,GAP-004;GAP-005,Include raw-input extended cost once in this batch variant
