dish_code,dish_name,channel,target_cogs_ratio_assumption,scenario_kitchen_cogs_rub,packaging_rub_assumption,scenario_price_rub_before_tax_commission,scenario_food_cost_ratio,scenario_gross_margin_before_channel_costs_rub,scenario_contribution_before_tax_commission_rub,tax_rate,aggregator_commission_rate,scenario_status,confidence,procurement_block,limitations
VKM-006,Томатная чиабатта,À la carte,0.3,15.784376,0,52.614588,0.3,36.830212,36.830212,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-006,Томатная чиабатта,Бизнес-ланч,0.4,15.784376,0,39.460941,0.4,23.676565,23.676565,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-006,Томатная чиабатта,Гостиничные ужины,0.3,15.784376,0,52.614588,0.3,36.830212,36.830212,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-006,Томатная чиабатта,Доставка,0.3,15.784376,65,269.281255,0.058617,253.496878,188.496878,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-006,Томатная чиабатта,Навынос,0.428571,15.784376,40,130.163675,0.121266,114.379299,74.379299,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-007,Бородинский хлеб,À la carte,0.3,25.922171,0,86.407235,0.3,60.485065,60.485065,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-007,Бородинский хлеб,Бизнес-ланч,0.4,25.922171,0,64.805426,0.4,38.883256,38.883256,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-007,Бородинский хлеб,Гостиничные ужины,0.3,25.922171,0,86.407235,0.3,60.485065,60.485065,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-007,Бородинский хлеб,Доставка,0.3,25.922171,65,303.073902,0.085531,277.151731,212.151731,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-007,Бородинский хлеб,Навынос,0.428571,25.922171,40,153.818552,0.168524,127.896381,87.896381,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-008,Бриошь,À la carte,0.3,27.567467,0,91.891555,0.3,64.324089,64.324089,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-008,Бриошь,Бизнес-ланч,0.4,27.567467,0,68.918666,0.4,41.3512,41.3512,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-008,Бриошь,Гостиничные ужины,0.3,27.567467,0,91.891555,0.3,64.324089,64.324089,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-008,Бриошь,Доставка,0.3,27.567467,65,308.558222,0.089343,280.990755,215.990755,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-008,Бриошь,Навынос,0.428571,27.567467,40,157.65758,0.174857,130.090113,90.090113,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-009,Буррата с томатами,À la carte,0.3,301.573898,0,1005.246326,0.3,703.672428,703.672428,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-009,Буррата с томатами,Бизнес-ланч,0.4,301.573898,0,753.934745,0.4,452.360847,452.360847,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-009,Буррата с томатами,Гостиничные ужины,0.3,301.573898,0,1005.246326,0.3,703.672428,703.672428,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-009,Буррата с томатами,Доставка,0.3,301.573898,65,1221.912993,0.246805,920.339095,855.339095,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-010,Микс-салат с креветками и яблоком,À la carte,0.3,339.689098,0,1132.296994,0.3,792.607896,792.607896,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-010,Микс-салат с креветками и яблоком,Бизнес-ланч,0.4,339.689098,0,849.222745,0.4,509.533647,509.533647,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-010,Микс-салат с креветками и яблоком,Гостиничные ужины,0.3,339.689098,0,1132.296994,0.3,792.607896,792.607896,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-010,Микс-салат с креветками и яблоком,Доставка,0.3,339.689098,65,1348.963661,0.251815,1009.274562,944.274562,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-011,Греческий,À la carte,0.3,130.834175,0,436.113915,0.3,305.279741,305.279741,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-011,Греческий,Бизнес-ланч,0.4,130.834175,0,327.085436,0.4,196.251262,196.251262,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-011,Греческий,Гостиничные ужины,0.3,130.834175,0,436.113915,0.3,305.279741,305.279741,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-011,Греческий,Доставка,0.3,130.834175,65,652.780582,0.200426,521.946407,456.946407,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-012,Винегрет,À la carte,0.3,25.584202,0,85.280675,0.3,59.696472,59.696472,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-012,Винегрет,Бизнес-ланч,0.4,25.584202,0,63.960506,0.4,38.376304,38.376304,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-012,Винегрет,Гостиничные ужины,0.3,25.584202,0,85.280675,0.3,59.696472,59.696472,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-012,Винегрет,Доставка,0.3,25.584202,65,301.947341,0.084731,276.363139,211.363139,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-013,Слабосолёный лосось,À la carte,0.3,474.197245,0,1580.657484,0.3,1106.460239,1106.460239,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-013,Слабосолёный лосось,Бизнес-ланч,0.4,474.197245,0,1185.493113,0.4,711.295868,711.295868,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-013,Слабосолёный лосось,Гостиничные ужины,0.3,474.197245,0,1580.657484,0.3,1106.460239,1106.460239,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-014,Сельдь с запечённым картофелем,À la carte,0.3,89.543901,0,298.47967,0.3,208.935769,208.935769,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-014,Сельдь с запечённым картофелем,Бизнес-ланч,0.4,89.543901,0,223.859752,0.4,134.315851,134.315851,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-014,Сельдь с запечённым картофелем,Гостиничные ужины,0.3,89.543901,0,298.47967,0.3,208.935769,208.935769,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-015,Оливки и маслины,À la carte,0.3,133.148886,0,443.82962,0.3,310.680734,310.680734,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-015,Оливки и маслины,Бизнес-ланч,0.4,133.148886,0,332.872215,0.4,199.723329,199.723329,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-015,Оливки и маслины,Гостиничные ужины,0.3,133.148886,0,443.82962,0.3,310.680734,310.680734,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-016,Ассорти фирменных солений,À la carte,0.3,39.207579,0,130.691931,0.3,91.484352,91.484352,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-016,Ассорти фирменных солений,Бизнес-ланч,0.4,39.207579,0,98.018948,0.4,58.811369,58.811369,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-016,Ассорти фирменных солений,Гостиничные ужины,0.3,39.207579,0,130.691931,0.3,91.484352,91.484352,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-017,Ростбиф с луком и гренкой,À la carte,0.3,153.840651,0,512.80217,0.3,358.961519,358.961519,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-017,Ростбиф с луком и гренкой,Бизнес-ланч,0.4,153.840651,0,384.601628,0.4,230.760977,230.760977,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-017,Ростбиф с луком и гренкой,Гостиничные ужины,0.3,153.840651,0,512.80217,0.3,358.961519,358.961519,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-018,Традиционный красный борщ,À la carte,0.3,101.285624,0,337.618748,0.3,236.333123,236.333123,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-018,Традиционный красный борщ,Бизнес-ланч,0.4,101.285624,0,253.214061,0.4,151.928436,151.928436,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-019,Мурманская треска со сливочно-горчичным соусом,À la carte,0.3,371.43417,0,1238.113899,0.3,866.67973,866.67973,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-019,Мурманская треска со сливочно-горчичным соусом,Бизнес-ланч,0.4,371.43417,0,928.585425,0.4,557.151255,557.151255,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-019,Мурманская треска со сливочно-горчичным соусом,Гостиничные ужины,0.3,371.43417,0,1238.113899,0.3,866.67973,866.67973,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-019,Мурманская треска со сливочно-горчичным соусом,Доставка,0.3,371.43417,65,1454.780566,0.25532,1083.346396,1018.346396,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-020,Креветки по-тайски,À la carte,0.3,357.352751,0,1191.175838,0.3,833.823086,833.823086,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-020,Креветки по-тайски,Бизнес-ланч,0.4,357.352751,0,893.381878,0.4,536.029127,536.029127,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-020,Креветки по-тайски,Гостиничные ужины,0.3,357.352751,0,1191.175838,0.3,833.823086,833.823086,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-020,Креветки по-тайски,Доставка,0.3,357.352751,65,1407.842504,0.25383,1050.489753,985.489753,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-021,Бургер VARSHAVKA,À la carte,0.3,230.361685,0,767.872285,0.3,537.510599,537.510599,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-021,Бургер VARSHAVKA,Бизнес-ланч,0.4,230.361685,0,575.904214,0.4,345.542528,345.542528,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-021,Бургер VARSHAVKA,Гостиничные ужины,0.3,230.361685,0,767.872285,0.3,537.510599,537.510599,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-021,Бургер VARSHAVKA,Доставка,0.3,230.361685,65,984.538952,0.233979,754.177266,689.177266,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-022,Миньоны из говяжьей вырезки,À la carte,0.3,326.767996,0,1089.226653,0.3,762.458657,762.458657,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-022,Миньоны из говяжьей вырезки,Бизнес-ланч,0.4,326.767996,0,816.91999,0.4,490.151994,490.151994,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-022,Миньоны из говяжьей вырезки,Гостиничные ужины,0.3,326.767996,0,1089.226653,0.3,762.458657,762.458657,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-022,Миньоны из говяжьей вырезки,Доставка,0.3,326.767996,65,1305.89332,0.250226,979.125324,914.125324,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-023,Запечённый картофель,À la carte,0.3,19.947533,0,66.491776,0.3,46.544243,46.544243,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-023,Запечённый картофель,Бизнес-ланч,0.4,19.947533,0,49.868832,0.4,29.921299,29.921299,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-023,Запечённый картофель,Гостиничные ужины,0.3,19.947533,0,66.491776,0.3,46.544243,46.544243,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-024,Рис жасмин,À la carte,0.3,24.566642,0,81.888808,0.3,57.322166,57.322166,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-024,Рис жасмин,Бизнес-ланч,0.4,24.566642,0,61.416606,0.4,36.849964,36.849964,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-024,Рис жасмин,Гостиничные ужины,0.3,24.566642,0,81.888808,0.3,57.322166,57.322166,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-025,Горячие овощи,À la carte,0.3,48.880659,0,162.93553,0.3,114.054871,114.054871,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-025,Горячие овощи,Бизнес-ланч,0.4,48.880659,0,122.201648,0.4,73.320989,73.320989,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-025,Горячие овощи,Гостиничные ужины,0.3,48.880659,0,162.93553,0.3,114.054871,114.054871,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-029,Черничный торт VARSHAVKA,À la carte,0.3,909.676493,0,3032.254977,0.3,2122.578484,2122.578484,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-029,Черничный торт VARSHAVKA,Навынос,0.428571,909.676493,40,2215.914033,0.41052,1306.23754,1266.23754,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
VKM-030,Кростата с солёной карамелью,À la carte,0.3,569.138771,0,1897.129237,0.3,1327.990466,1327.990466,,,ASSUMPTION_BLOCKED_PENDING_VALIDATION,LOW_CONFIDENCE,OPEN,"Planning scenario, not approved project price; tax, commission and quoted packaging remain excluded/blocked"
