dish_code,dish_name,menu_section,recipe_version,code_integrity,recipe_mass_balance,semi_finished_link,costing_link,equipment_link,safety_link,nutrition_link,unit_output_consistency,double_counting_check,blocker_propagation,gate_c_status,open_conflict_ids,next_action
VKM-019,Мурманская треска со сливочно-горчичным соусом,Горячие блюда,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-020,Креветки по-тайски,Горячие блюда,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-021,Бургер VARSHAVKA,Горячие блюда,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-022,Миньоны из говяжьей вырезки,Горячие блюда,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-023,Запечённый картофель,Гарниры,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-024,Рис жасмин,Гарниры,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-025,Горячие овощи,Гарниры,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-029,Черничный торт VARSHAVKA,Десерты,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007;INT-C-008,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-030,Кростата с солёной карамелью,Десерты,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
VKM-031,Мадлен,Десерты,0.1.0-DRAFT,PASS,PASS_DRAFT_ARITHMETIC,PASS_WITH_OPEN_VALIDATION,PASS_FORMULA_AND_SOURCE_AUDIT_COMPLETE_COGS_BLOCKED,PASS_STRUCTURE_CAPACITY_BLOCKED,PASS_LINK_VETO_BLOCK,PASS_LINK_VALUES_NULL,PASS,PASS_STRUCTURE_AND_RECALC,PASS,PASS_WITH_CONDITIONS,INT-C-002;INT-C-004;INT-C-005;INT-C-006;INT-C-007,Proceed to Gate D with accepted handoffs; preserve all domain blockers and unknowns
