economic_blocker_id,scope,blocker_type,reason,missing_input,owner,impact,next_action,control_point,status
ECB-011,VKM-011,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-031;ING-038;ING-043;ING-044;ING-045;ING-046;VSF-009,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-012,VKM-012,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-016;ING-024;ING-051;ING-052;ING-053;VSF-010,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-013,VKM-013,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-024;ING-034;ING-055;ING-056,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-014,VKM-014,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-024;ING-046;ING-051;ING-057;ING-059;VSF-011,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-015,VKM-015,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-060;ING-061;VSF-012,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-016,VKM-016,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: VSF-014,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-017,VKM-017,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-046;ING-059;ING-066;VSF-015;VSF-016,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-018,VKM-018,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-059;ING-064;ING-072;ING-073;ING-075;VSF-017;VSF-018,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-019,VKM-019,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-024;ING-059;ING-079;VSF-019,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-020,VKM-020,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-016;ING-043;ING-084;ING-085;ING-086;VSF-020,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-021,VKM-021,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-090;ING-091;ING-092;ING-093;ING-096;VSF-006;VSF-021;VSF-022,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-022,VKM-022,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-007;ING-024;ING-033;ING-059;ING-063;ING-099;VSF-024,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-023,VKM-023,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: VSF-011,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-024,VKM-024,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-024;VSF-025,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-025,VKM-025,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-024;ING-033;ING-063;VSF-026,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-026,VKM-029,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-112;VSF-027;VSF-028;VSF-029;VSF-030,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-027,VKM-030,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: ING-112;VSF-031;VSF-032;VSF-033,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-028,VKM-031,INCOMPLETE_RECIPE_COST,Нет сопоставимой подтверждённой цены/единицы для: VSF-034,КП/спецификация/плотность или карта VSF,Owner / Procurement / Chef,"Нельзя утверждать полную себестоимость, цену, food cost и маржинальность",Получить КП и спецификации; подтвердить recipe units/VSF yield; пересчитать,Gate C rerun before Excel Gate,OPEN
ECB-029,ALL,GLOBAL_ECONOMIC_INPUT,Ставка/режим налогообложения и применимость НДС не подтверждены,Решение владельца и первичный документ,Owner / Finance / Procurement,Маржинальная прибыль и/или конечная цена не могут быть утверждены,Подтвердить до Owner Gate,Gate C / Owner Gate,OPEN
ECB-030,ALL,GLOBAL_ECONOMIC_INPUT,Комиссия агрегатора/эквайринг по каналам не подтверждены,Решение владельца и первичный документ,Owner / Finance / Procurement,Маржинальная прибыль и/или конечная цена не могут быть утверждены,Подтвердить до Owner Gate,Gate C / Owner Gate,OPEN
ECB-031,ALL,GLOBAL_ECONOMIC_INPUT,"Упаковка 65/40 руб. — модельный input, не закупочная спецификация/КП",Решение владельца и первичный документ,Owner / Finance / Procurement,Маржинальная прибыль и/или конечная цена не могут быть утверждены,Подтвердить до Owner Gate,Gate C / Owner Gate,OPEN
