evidence_id,parameter_family,dish_scope,source_id,source_locator,source_date_or_version,evidence_class,parameter_status,allowed_use,prohibited_use,confirmation_owner,linked_gap_ids
EVD-0021,equipment functional mapping,ALL_28,SRC-004,menu-to-capacity operation groups,3.0.0 / 2026-07-28,preliminary model,ESTIMATE,seed operation-to-function mapping,approve concrete equipment,EquipmentCapacityAgent,GAP-017
EVD-0022,equipment model capacity duration and batch count,ALL_28,SRC-005,equipment register,3.0.0 / 2026-07-28,preliminary estimate,BLOCKED,identify missing passport data,invent passport throughput,Procurement / Engineering,GAP-018
EVD-0023,equipment ownership installation and connections,ALL_28,SRC-009,V-I-038 through V-I-044 and V-I-104 through V-I-114,2026-07-28,gap evidence,BLOCKED,record CAPEX/technical gaps,claim available or connected,Engineering / Owner,GAP-019
EVD-0024,production capacity and bottlenecks,ALL_28,SRC-004,capacity workbook,3.0.0 / 2026-07-28,scenario estimate,ESTIMATE,preliminary sensitivity and test plan,claim demonstrated capacity,Operations / Engineering,GAP-020
EVD-0025,inventory and production utensils,ALL_28,SRC-011,CAPEX quantity rows,3.0.0 / 2026-07-28,project estimate,ESTIMATE,seed resource questions and candidate list,claim quantity approved or purchased,Operations / Procurement,GAP-021
EVD-0026,service tableware and reserve,ALL_28,SRC-009,V-I-083 V-I-118 V-I-119,2026-07-28,gap evidence,BLOCKED,create per-dish tableware requirement fields,invent service scheme or reserve,Operations / Owner,GAP-022
EVD-0027,nutrition source values per ingredient,ALL_28,SRC-010,source policy,current main,absence evidence,BLOCKED,define acceptable source hierarchy,replace unknown with zero,NutritionDataAgent / Procurement,GAP-023
EVD-0028,calculated protein fat carbohydrate and energy,ALL_28,NA,method requires frozen net recipe plus EVD-0027,Issue #82 method,calculation method,BLOCKED,calculate and label as CALCULATED after inputs,claim laboratory confirmation,NutritionDataAgent,GAP-023
EVD-0029,chef and owner approvals,ALL_28,SRC-001,approval constraints,1.0.0 / 2026-08-03,approved governance,BLOCKED,provide approval sheet and decision fields,self-approve or infer approval,Chef / Owner,GAP-024
EVD-0030,control-cook evidence and mass balance,ALL_28,SRC-009,V-I-005 and related trials,2026-07-28,canonical planned work,BLOCKED_PENDING_VALIDATION,prepare 28 forms and acceptance rules,simulate observed results,Chef / Operations,GAP-025
EVD-0031,PR81 builder and automated checks,ALL_28,SRC-016,build_issue_80_menu_cards.mjs,2026-08-03,reference implementation,FACT,reuse after code review and extend to 17 sheets,treat 10-sheet output as Issue #82 completion,ExcelBuilder,GAP-026
EVD-0032,three breakfast worked examples,VKM-026…VKM-028,SRC-015,workbook detailed breakfast rows,1.0.0 / 2026-08-03,reference-only,DRAFT,inspect architecture and formula links,include in 28-dish scope or transfer values,ExcelBuilder / SystemArchitect,
