dish_code,dish_name,channel,target_cogs_ratio,kitchen_cogs_rub,packaging_rub,aggregator_commission_rate,tax_rate,project_price_rub,food_cost_ratio,gross_margin_rub_before_channel_costs,contribution_rub_before_tax_and_commission,pricing_status,method,source_or_assumption,blockers
VKM-007,Бородинский хлеб,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-005
VKM-007,Бородинский хлеб,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-005
VKM-007,Бородинский хлеб,Навынос,0.428571,,40,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-005
VKM-008,Бриошь,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-006
VKM-008,Бриошь,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-006
VKM-008,Бриошь,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-006
VKM-008,Бриошь,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-006
VKM-008,Бриошь,Навынос,0.428571,,40,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-006
VKM-009,Буррата с томатами,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-031;ING-034;VSF-007
VKM-009,Буррата с томатами,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-031;ING-034;VSF-007
VKM-009,Буррата с томатами,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-031;ING-034;VSF-007
VKM-009,Буррата с томатами,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-005;ING-031;ING-034;VSF-007
VKM-010,Микс-салат с креветками и яблоком,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-035;ING-037;ING-038;ING-042;VSF-008
VKM-010,Микс-салат с креветками и яблоком,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-035;ING-037;ING-038;ING-042;VSF-008
VKM-010,Микс-салат с креветками и яблоком,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-035;ING-037;ING-038;ING-042;VSF-008
VKM-010,Микс-салат с креветками и яблоком,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-035;ING-037;ING-038;ING-042;VSF-008
VKM-011,Греческий,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-031;ING-038;ING-043;ING-044;ING-045;ING-046;VSF-009
VKM-011,Греческий,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-031;ING-038;ING-043;ING-044;ING-045;ING-046;VSF-009
VKM-011,Греческий,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-031;ING-038;ING-043;ING-044;ING-045;ING-046;VSF-009
VKM-011,Греческий,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-031;ING-038;ING-043;ING-044;ING-045;ING-046;VSF-009
VKM-012,Винегрет,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-024;ING-051;ING-052;ING-053;VSF-010
VKM-012,Винегрет,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-024;ING-051;ING-052;ING-053;VSF-010
VKM-012,Винегрет,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-024;ING-051;ING-052;ING-053;VSF-010
VKM-012,Винегрет,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-024;ING-051;ING-052;ING-053;VSF-010
VKM-013,Слабосолёный лосось,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-034;ING-055;ING-056
VKM-013,Слабосолёный лосось,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-034;ING-055;ING-056
VKM-013,Слабосолёный лосось,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-034;ING-055;ING-056
VKM-014,Сельдь с запечённым картофелем,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-046;ING-051;ING-057;ING-059;VSF-011
VKM-014,Сельдь с запечённым картофелем,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-046;ING-051;ING-057;ING-059;VSF-011
VKM-014,Сельдь с запечённым картофелем,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-046;ING-051;ING-057;ING-059;VSF-011
VKM-015,Оливки и маслины,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-060;ING-061;VSF-012
VKM-015,Оливки и маслины,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-060;ING-061;VSF-012
VKM-015,Оливки и маслины,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-060;ING-061;VSF-012
VKM-016,Ассорти фирменных солений,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-014
VKM-016,Ассорти фирменных солений,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-014
VKM-016,Ассорти фирменных солений,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-014
VKM-017,Ростбиф с луком и гренкой,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-046;ING-059;ING-066;VSF-015;VSF-016
VKM-017,Ростбиф с луком и гренкой,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-046;ING-059;ING-066;VSF-015;VSF-016
VKM-017,Ростбиф с луком и гренкой,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-046;ING-059;ING-066;VSF-015;VSF-016
VKM-018,Традиционный красный борщ,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-059;ING-064;ING-072;ING-073;ING-075;VSF-017;VSF-018
VKM-018,Традиционный красный борщ,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-059;ING-064;ING-072;ING-073;ING-075;VSF-017;VSF-018
VKM-019,Мурманская треска со сливочно-горчичным соусом,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-059;ING-079;VSF-019
VKM-019,Мурманская треска со сливочно-горчичным соусом,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-059;ING-079;VSF-019
VKM-019,Мурманская треска со сливочно-горчичным соусом,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-059;ING-079;VSF-019
VKM-019,Мурманская треска со сливочно-горчичным соусом,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-059;ING-079;VSF-019
VKM-020,Креветки по-тайски,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-043;ING-084;ING-085;ING-086;VSF-020
VKM-020,Креветки по-тайски,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-043;ING-084;ING-085;ING-086;VSF-020
VKM-020,Креветки по-тайски,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-043;ING-084;ING-085;ING-086;VSF-020
VKM-020,Креветки по-тайски,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-016;ING-043;ING-084;ING-085;ING-086;VSF-020
VKM-021,Бургер VARSHAVKA,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-090;ING-091;ING-092;ING-093;ING-096;VSF-006;VSF-021;VSF-022
VKM-021,Бургер VARSHAVKA,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-090;ING-091;ING-092;ING-093;ING-096;VSF-006;VSF-021;VSF-022
VKM-021,Бургер VARSHAVKA,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-090;ING-091;ING-092;ING-093;ING-096;VSF-006;VSF-021;VSF-022
VKM-021,Бургер VARSHAVKA,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-090;ING-091;ING-092;ING-093;ING-096;VSF-006;VSF-021;VSF-022
VKM-022,Миньоны из говяжьей вырезки,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-007;ING-024;ING-033;ING-059;ING-063;ING-099;VSF-024
VKM-022,Миньоны из говяжьей вырезки,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-007;ING-024;ING-033;ING-059;ING-063;ING-099;VSF-024
VKM-022,Миньоны из говяжьей вырезки,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-007;ING-024;ING-033;ING-059;ING-063;ING-099;VSF-024
VKM-022,Миньоны из говяжьей вырезки,Доставка,0.3,,65,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-007;ING-024;ING-033;ING-059;ING-063;ING-099;VSF-024
VKM-023,Запечённый картофель,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-011
VKM-023,Запечённый картофель,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-011
VKM-023,Запечённый картофель,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,VSF-011
VKM-024,Рис жасмин,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;VSF-025
VKM-024,Рис жасмин,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;VSF-025
VKM-024,Рис жасмин,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;VSF-025
VKM-025,Горячие овощи,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-033;ING-063;VSF-026
VKM-025,Горячие овощи,Бизнес-ланч,0.4,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-033;ING-063;VSF-026
VKM-025,Горячие овощи,Гостиничные ужины,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-024;ING-033;ING-063;VSF-026
VKM-029,Черничный торт VARSHAVKA,À la carte,0.3,,0,,,,,,,BLOCKED_PENDING_VALIDATION,(complete kitchen COGS + channel packaging) / S04 target COGS ratio; commission and tax excluded because unconfirmed,S04 inputs + docs/03-methodology/COGS.md,ING-112;VSF-027;VSF-028;VSF-029;VSF-030
