code,section,parameter,value,unit,status,source
PICK_PACK,Самовывоз,Упаковка,40,руб./заказ,Допущение,Середина диапазона 30–50 руб.; заменить на факт
PICK_CASHLESS,Самовывоз,Доля безналичной оплаты,1,%,Допущение,До уточнения — 100%
HOTEL_BREAKFAST_CHECK,Гостиница — завтраки,Внутренний тариф завтрака,550,руб./завтрак,Подтверждено,Включён в проживание; сумма с НДС; внешняя продажа запрещена
HOTEL_BREAKFAST_ORDERS,Гостиница — завтраки,Завтраков каждый календарный день,20,завтраков/день,Подтверждено,20 подтверждённых обслуживаний ежедневно
HOTEL_BREAKFAST_COGS,Гостиница — завтраки,Средневзвешенный рецептурный food cost,0.3705453277777778,% выручки,Предварительный расчёт S04,203.7999302778 / 550; Fontina 1800 руб./кг является параметром чувствительности
HOTEL_BREAKFAST_PACK,Гостиница — завтраки,Упаковка / расходники завтрака,0,руб./завтрак,Подтверждено,Многоразовая посуда; общие салфетки и сахар относятся в OPEX
HOTEL_BREAKFAST_CASHLESS,Гостиница — завтраки,Доля выручки завтрака с эквайрингом,0,%,Расчёт,Внутренний тариф Гостиницы; эквайринг гостя отсутствует; подтвердить договором
HOTEL_BREAKFAST_ACTIVE_VARIANTS,Гостиница — завтраки,Активных вариантов,3,варианта,Подтверждено,"Яичница, омлет, овсяная каша"
HOTEL_BREAKFAST_EXTERNAL_SALE,Гостиница — завтраки,Внешняя продажа,0,0/1,Подтверждено,Закрытое меню; продажа гостям КАФЕ запрещена
HOTEL_BREAKFAST_DRINK_COGS,Гостиница — завтраки,Себестоимость напитка бариста,60,руб./завтрак,Подтверждено,Относится к Гостинице и не входит в КОФЕ&ЧАЙ
HOTEL_BREAKFAST_KITCHEN_COGS,Гостиница — завтраки,Средневзвешенная себестоимость Кухни,143.7999302778,руб./завтрак,Предварительно S04,Формула из PRICE_REGISTER и норм брутто; нужны КП и документы поставщиков
HOTEL_BREAKFAST_UNIT_COGS,Гостиница — завтраки,Полная прямая себестоимость,203.7999302778,руб./завтрак,Предварительный расчёт S04,Кухня + напиток бариста 60 руб.
HOTEL_BREAKFAST_EGG_SHARE,Гостиница — завтраки,Доля яичницы,0.375,%,Подтверждено,37.5%
HOTEL_BREAKFAST_OMELET_SHARE,Гостиница — завтраки,Доля омлета,0.375,%,Подтверждено,37.5%
HOTEL_BREAKFAST_OAT_SHARE,Гостиница — завтраки,Доля овсяной каши,0.25,%,Подтверждено,25%
HOTEL_BREAKFAST_BENEDICT_SHARE,Гостиница — завтраки,Доля яиц Бенедикт,0,%,Подтверждено,Неактивная архивная рецептура
HOTEL_BREAKFAST_SALMON_CROISSANT_SHARE,Гостиница — завтраки,Доля круассана с лососем,0,%,Подтверждено,Неактивная архивная рецептура
HOTEL_BREAKFAST_SURCHARGE,Гостиница — завтраки,Доплата за вариант,0,руб./завтрак,Подтверждено,Доплаты запрещены
KITCHEN_ACTIVE_MENU_POSITIONS,Кухня,Активных стартовых позиций,31,позиция,Подтверждено,Две специальные позиции завтрака исключены
TRAINING_CONTROL_BATCHES,Обучение,Контрольных партий,63,партии,Расчёт,65 минус две стартовые серии
TRAINING_CONTROL_UNITS,Обучение,Изделий и продаваемых порций,636,ед.,Расчёт,656 минус 20 порций
TRAINING_CONTROL_KG,Обучение,Готовой продукции,171.3,кг,Расчёт,176.30 минус 5.00 кг
BANQ_START,Банкеты,Начало банкетов,2026-11-01,дата,Подтверждено,Сентябрь–октябрь без банкетов
BANQ_PER_MONTH,Банкеты,Банкетов в месяц с ноября,6,банкетов/мес.,Подтверждено,60 банкетов за 10 месяцев
BANQ_TOTAL,Банкеты,Банкетов за операционный год,60,банкетов/год,Подтверждено,Пользователь
BANQ_PART,Банкеты,Участников на банкет,20,чел.,Подтверждено,Пользователь
BANQ_CHECK,Банкеты,Средний чек на человека,3000,руб./чел.,Подтверждено,Пользователь
BANQ_COGS,Банкеты,Food cost,0.4,% выручки,Подтверждено,Пользователь
BANQ_AGENT,Банкеты,Комиссия агента,0.1,% выручки,Подтверждено,Пользователь
BANQ_CASHLESS,Банкеты,Доля безналичной оплаты,0,%,Подтверждено,100% наличной оплаты через ККТ; эквайринг отсутствует
BANQ_FSS_SHARE,Банкеты,Доля пятница–воскресенье,0.7,%,Подтверждено,42 из 60
BANQ_WD_SHARE,Банкеты,Доля понедельник–четверг,0.3,%,Подтверждено,18 из 60
NDFL_RATE,ФОТ,НДФЛ,0.13,% gross,Подтверждено,Расчёт net → gross
INS_RATE,ФОТ,Страховые взносы,0.3,% gross,Подтверждено,Пользователь
PAYROLL_RESERVE,ФОТ,"Резерв отпусков, болезней и замещений",0.05,% gross ФОТ,Допущение,Рабочий резерв USALI
CHEF_RATE,ФОТ,Шеф — ставка за смену,6000,руб./день,Подтверждено,Пользователь
CHEF_DAYS,ФОТ,Шеф — дней в месяц,22,дней,Подтверждено,Пользователь
SOUS_RATE,ФОТ,Су-шеф — ставка за смену,6000,руб./день,Подтверждено,Пользователь
SOUS_DAYS,ФОТ,Су-шеф — дней в месяц,22,дней,Подтверждено,Пользователь
COOK_RATE,ФОТ,Повар — ставка за смену,5000,руб./день,Подтверждено,Пользователь
COOK_DAYS,ФОТ,Повар — дней в месяц,22,дней,Подтверждено,Пользователь
BAR_RATE,ФОТ,Бармен-бариста-кассир — ставка,5000,руб./день,Подтверждено,Пользователь
BAR_DAYS,ФОТ,Бармен-бариста-кассир — дней,31,дней,Подтверждено,Пользователь
GM_RATE,ФОТ,Управляющий — ставка,6000,руб./день,Подтверждено,Пользователь
GM_DAYS,ФОТ,Управляющий — дней,22,дней,Подтверждено,Пользователь
MGR_RATE,ФОТ,Менеджер — ставка,6000,руб./день,Подтверждено,Пользователь
MGR_DAYS,ФОТ,Менеджер — дней,22,дней,Подтверждено,Пользователь
CLEAN_RATE,ФОТ,Уборщица-посудомойка — ставка,5000,руб./день,Подтверждено,Пользователь
CLEAN_DAYS,ФОТ,Уборщица-посудомойка — дней,31,дней,Подтверждено,Пользователь
BUY_RATE,ФОТ,Снабженец — ставка,7000,руб./день,Подтверждено,Пользователь
BUY_DAYS,ФОТ,Снабженец — дней,10,дней,Подтверждено,Пользователь
DEL_MGR_RATE,ФОТ,Менеджер доставки — ставка,5000,руб./день,Подтверждено,Пользователь
DEL_MGR_DAYS,ФОТ,Менеджер доставки — дней,31,дней,Подтверждено,Пользователь
ACC_MONTH,ФОТ,Бухгалтер + бухгалтер-калькулятор,80000,руб./мес.,Подтверждено,Самозанятые
IT_MONTH,ФОТ,ИТ-специалист,30000,руб./мес.,Подтверждено,Самозанятый
UTILITIES,Utilities,Коммунальные платежи,70000,руб./мес.,Подтверждено,Пользователь
WASTE,Utilities,Вывоз мусора,10000,руб./мес.,Подтверждено,Пользователь
INTERNET,A&G,Интернет и связь,10000,руб./мес.,Подтверждено,Пользователь
MARKETING,Sales & Marketing,Маркетинг,20000,руб./мес.,Подтверждено,Пользователь
HOUSEHOLD,F&B Departmental,Хозяйственные расходы,50000,руб./мес.,Подтверждено,Пользователь
EQUIP_MAINT,POM,Обслуживание холодильного и теплового оборудования,10000,руб./мес.,Подтверждено,Пользователь
CASH_RENT,A&G,Аренда кассового оборудования,9000,руб./мес.,Подтверждено,Пользователь
COFFEE_RENT,F&B Departmental,Аренда кофемашины,10000,руб./мес.,Подтверждено,Пользователь
SES,F&B Departmental,СЭС / санитарные услуги,15000,руб./мес.,Подтверждено,Пользователь; проверить состав услуг
MUSIC,F&B Departmental,Музыка / авторские права,3500,руб./мес.,Подтверждено,Пользователь
VENT,POM,Обслуживание приточно-вытяжной вентиляции,6000,руб./мес.,Подтверждено,Пользователь
SMALLWARE,F&B Departmental,Малоценка и инвентарь,10000,руб./мес.,Подтверждено,Пользователь
CARPETS,POM,Сервис грязезащитных ковров,12000,руб./мес. окт–апр,Допущение,Рабочий рыночный резерв
INSURANCE,Fixed Charges,Страхование имущества и ответственности,100000,руб./год,Допущение,Договор аренды в папке требует страхование; резерв до КП: https://drive.google.com/drive/folders/1VLrgg-vLogvAVUFPkVmkNqlbE9rJ0BNx?usp=drive_link
CURRENT_REPAIR,POM,Текущий ремонт помещений,20000,руб./мес.,Допущение,Требование договора / резерв
EMERG_REPAIR,POM,Аварийный ремонт оборудования,20000,руб./мес.,Допущение,Рабочий резерв
PEST,F&B Departmental,Дезинсекция и дератизация,5000,руб./мес.,Допущение,"Проверить, не входит ли в СЭС"
GEN_CLEAN,F&B Departmental,Генеральная уборка,15000,руб./мес.,Допущение,Рабочий резерв
GREASE,F&B Departmental,Жироуловитель / канализация,8000,руб./мес.,Допущение,Рабочий резерв
LAUNDRY,F&B Departmental,Стирка текстиля / униформы,15000,руб./мес.,Допущение,Рабочий резерв
FIRE_ALARM,POM,Обслуживание пожарной сигнализации,5000,руб./мес.,Допущение,Рабочий резерв
POS,A&G,POS / учётная система,20000,руб./мес.,Допущение,iiko/r_keeper — уточнить
SECURITY,POM,Охрана / тревожная кнопка,6000,руб./мес.,Допущение,Рабочий резерв
BANK_FEES,A&G,Банковские комиссии и РКО,8000,руб./мес.,Допущение,Кроме эквайринга
LEGAL,A&G,Юридическое сопровождение,10000,руб./мес.,Допущение,Рабочий резерв
CLOUD,A&G,Резервный интернет / облачные сервисы,4000,руб./мес.,Допущение,Рабочий резерв
DUCT_CLEAN,POM,Глубокая очистка вытяжки и воздуховодов,120000,руб./год,Допущение,Начисляется равномерно
ELECTRO,POM,Электроизмерения,30000,руб./год,Допущение,Начисляется равномерно
FIRE_CHECK,POM,Огнетушители и пожарные проверки,25000,руб./год,Допущение,Начисляется равномерно
MEDICAL,F&B Departmental,Медкнижки и обучение,100000,руб./год,Допущение,Начисляется равномерно
UNIFORM,F&B Departmental,Униформа,150000,руб./год,Допущение,Начисляется равномерно
OFD_EDO,A&G,"ОФД, ЭЦП, ЭДО",40000,руб./год,Допущение,Начисляется равномерно
WINDOWS,POM,Мытьё окон / чистка мебели,54000,руб./год,Допущение,Начисляется равномерно
STAFF_MEALS,F&B Departmental,Контрольный бюджет питания персонала,15000,руб./мес.,Контрольный бюджет,Неподтверждённый лимит; фактическая себестоимость определяется по Issue #41
HOTEL_DINNER_ORDERS,Гостиница — ужины,Ужинов каждый календарный день,10,ужинов/день,Подтверждено,10 гостевых обслуживаний ежедневно
HOTEL_DINNER_CHECK,Гостиница — ужины,Средний чек ужина,1000,руб./ужин,Подтверждено,Пользователь
HOTEL_DINNER_COGS,Гостиница — ужины,Food cost ужина,0.3,% выручки,Расчёт,Связан с ALA_COGS
HOTEL_DINNER_PACK,Гостиница — ужины,Упаковка / расходники ужина,0,руб./ужин,Требует уточнения,Уточнить по порядку обслуживания Гостиницы
HOTEL_DINNER_CASHLESS,Гостиница — ужины,Доля безналичной оплаты ужина,1,%,Допущение,До уточнения — 100%
COFFEE_TEA_GUEST_SHARE,КОФЕ&ЧАЙ,Доля от гостей а-ля карт Бизнес-ланча и Гостиницы,0.5,%,Подтверждено,Доставка и Навынос не входят; количество округляется вниз ежедневно
COFFEE_TEA_CHECK,КОФЕ&ЧАЙ,Средний чек напитка бариста,300,руб./напиток,Подтверждено,Одна единица напитка на гостя
COFFEE_TEA_UNIT_COGS,КОФЕ&ЧАЙ,Прямая себестоимость напитка,60,руб./напиток,Подтверждено,Продукция Кухни отсутствует
COFFEE_TEA_CASHLESS,КОФЕ&ЧАЙ,Доля безналичной оплаты,1,%,Допущение,До решения Issue #51
STAFF_MEALS_WEEKLY_QTY,Питание сотрудников,Комплексов в неделю,84,комплексов/нед.,Подтверждено,48 комплексов А + 36 комплексов Б; резерв не применяется
STAFF_MEALS_ANNUAL_QTY,Питание сотрудников,Комплексов за 52 недели,4368,комплексов/год,Расчёт,84 × 52
STAFF_MEALS_FOOD_WEEK,Питание сотрудников,Пищевая продукция в неделю,54.6,кг/нед.,Подтверждено,84 комплекса × 650 г
STAFF_MEALS_DRINK_WEEK,Питание сотрудников,Напитки в неделю,16.8,л/нед.,Подтверждено,84 комплекса × 200 мл; кофе бариста не входит
PRICE_EGG_C0,Закупочные цены завтрака,Яйцо C0,12.999,руб./шт.,Предварительно,Лента арт. 739866; публичная цена 129.99 руб. за 10 шт.
PRICE_MELANGE_GROVO,Закупочные цены завтрака,Меланж GROVO,401.6666666667,руб./кг,Предварительно,Публичная карточка 361.50 руб. за 900 г; требуется документ GROVO
PRICE_MILK_DS_SELECT,Закупочные цены завтрака,Молоко Деловой Стандарт Select 3.2%,146,руб./л,Предварительно,Pragmatic арт. 12106183; масса нетто и НДС требуют документа
PRICE_BUTTER_825,Закупочные цены завтрака,Сливочное масло 82.5%,1111.0555555556,руб./кг,Предварительно,Лента арт. 743324
PRICE_OATS,Закупочные цены завтрака,Овсяные хлопья длительной варки,209.98,руб./кг,Предварительно,Лента арт. 627534
PRICE_SUGAR,Закупочные цены завтрака,Сахар,99.99,руб./кг,Предварительно,Лента арт. 717070
PRICE_SALT,Закупочные цены завтрака,Соль,42.99,руб./кг,Предварительно,Лента арт. 214838
PRICE_CROISSANT_80,Закупочные цены завтрака,Замороженный круассан 80 г,33.888,руб./шт.,Предварительно,Supl.biz карточка 26840364; сливочное масло и выход не подтверждены
PRICE_CHEDDAR,Закупочные цены завтрака,Чеддер,1399.92,руб./кг,Предварительно,Лента арт. 722806
PRICE_FONTINA_SENSITIVITY,Закупочные цены завтрака,Fontina DOP / Fontal,1800,руб./кг,Только анализ чувствительности,Поставщик и закупочная цена не определены; продукты не взаимозаменяемы до дегустации
