LEGACY_FUNC_CODE,LEGACY_DIRECTION,LEGACY_EQUIPMENT,LEGACY_QTY,CURRENT_FUNC_CODES,CHANGE_TYPE,CHANGE_DESCRIPTION,SOURCE_FILE,SOURCE_SHA256,SOURCE_DATE,SOURCE_STATUS
AP-01,Закуски,Охлаждаемая витрина/надстройка,1,CLD-02,RETAINED,Уточнено ≥12 GN 1/3,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
AP-02,Закуски,"Доски, ножи и ёмкости",Комплект,CLD-07,RETAINED,Сохранено как два комплекта,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-01,Горячие блюда,Индукционная плита: 4 зоны,1,HOT-05A,RETAINED,Сохранено,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-02,Горячие блюда,Индукционная плита: 2 зоны,1,HOT-05B,RETAINED,Сохранено,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-03,Горячие блюда,Теппан / жарочная поверхность,1,HOT-02,RETAINED,Добавлены две зоны и мощность,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-04,Горячие блюда,WOK-модуль,1,HOT-03,RETAINED,Добавлена производительность,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-05,Горячие блюда,Пароконвектомат,1,HOT-01,RETAINED,Уточнено 6×GN 1/1,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-06,Горячие блюда,Холодильный стол,1,HOT-07,RETAINED,Сохранено,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-07,Горячие блюда,Мясорубка,1,HOT-08,RETAINED,Сохранено,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
HP-08,Горячие блюда,Вытяжной зонт,По линии,ENG-08,MOVED,Перенесено в инженерный контур,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
SD-01,Гарниры,Гастроёмкости и противни,Комплект,HOT-13,RETAINED,Сохранено,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
SD-02,Гарниры,Фритюрница,Не требуется,HOT-14,EXCLUDED,Фри исключён,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-01,Пицца и хлеб,Подовая хлебная печь / 2 пода,2 пода,BAK-02,REPLACED,Заменено печью 6×600×400,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-02,Пицца и хлеб,Расстоечный шкаф,1,BAK-05,REPLACED,Программируемая ночная расстойка,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-03,Пицца и хлеб,Тестомес,1,BAK-03,RETAINED,Уточнён диапазон 2–25 кг,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-04,Пицца и хлеб,Пицца-печь,1,BAK-01,RETAINED,Подтверждена отдельная печь,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-05,Пицца и хлеб,Пицца-стол холодильный,1,BAK-12,RETAINED,Восстановлен как обязательный,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-06,Пицца и хлеб,Дополнительные холодильные модули,2 обсуждались,STO-13,CONDITIONAL,После расчёта заполнения,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-07,Пицца и хлеб,Стеллаж для коробок,1,BAK-13,RETAINED,Сохранено,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PB-08,Пицца и хлеб,Морозильное хранение выпечки,Уточнить,STO-03,MERGED,Включено во второй морозильник,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
BK-01,Завтраки,Порционные сковороды / форма для 3 яиц,Комплект,BRK-01,REPLACED,10–12 форм омлета; два яйца,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
BK-02,Завтраки,Ёмкости для каш и мармит,По объёму,BRK-03,REPLACED,Мармит исключён; немедленная выдача,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PA-01,Раздача,Раздаточный / холодильный стол,1,DSP-01;DSP-04;DSP-05,SPLIT,Разделено на три функции,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PA-02,Раздача,Шпильки чистой посуды,Уточнить,DSP-11;WSH-08,SPLIT,Разделено между раздачей и мойкой,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PW-01,Котломойка,Ванны кухонной посуды,Уточнить,WSH-07,RETAINED,Уточнена двухсекционная ванна,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PW-02,Котломойка,Стол приёмки грязной посуды,1,WSH-02,RETAINED,Уточнён размер,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
PW-03,Котломойка,Стеллаж чистой кухонной посуды,1,WSH-08,RETAINED,Сохранено,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
DW-01,Посудомоечная,Профессиональная машина,1,WSH-01,RETAINED,Купольная ≥40 кассет/час,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
DW-02,Посудомоечная,Ополаскивание и ванна,1 комплект,WSH-04,RETAINED,Уточнён предварительный душ,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
DW-03,Посудомоечная,Столы и стеллаж,Комплект,WSH-02;WSH-03;WSH-06;WSH-08,SPLIT,Разделено по потоку,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
UT-01,Общее,Рукомойники,По планировке,CLD-05;HOT-15;BAK-14;WSH-10,SPLIT,По одному на рабочий контур,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
UT-02,Общее,"Тележки, шпильки, GN, маркировка",По расчёту,HOT-13;BAK-06;DSP-11;BAN-03;BRK-05,SPLIT,Распределено по функциям,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
UT-03,Общее,Контейнеры для отходов,По участкам,UTL-01,RETAINED_NOT_CAPEX_PRICED,Сохранено в общем инвентаре,VARSHAVKA_Спецификация_оборудования_Кухни_верифицированная_по_меню.docx,b3231fa6159a529f52dfd8eb82f309de825469f1d3666d0a109c1d9a66bf6d62,2026-07-25,LOCAL_SOURCE_NOT_PUBLISHED
