INV_CODE,LEGACY_FUNC_CODE,CURRENT_FUNC_CODE,ASSET_NAME,ASSET_GROUP,SUBGROUP,QUANTITY,UNIT,MIN_TECH_REQUIREMENT,PROJECT_DIMENSIONS_MM,CONNECTIONS,SERVICE_ZONE_MM,BUSINESS_DIRECTION,ALLOCATION_DRIVER,MANDATORY_STATUS,ACTIVATION_GATE,BASE_SCENARIO_QTY,OPTIONAL_SCENARIO_QTY,HISTORICAL_ESTIMATE_RUB,CURRENT_PRICE_RUB,PRICE_STATUS,SOURCE_ID,ISSUE_ID,OWNER,APPROVAL_STATUS,NOTES
CAPEX.BLD.004,,BLD-04,Потолки,CAPEX,Строительство,1,объект,По проекту,по ВОР,—,—,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,,V-I-071,Проектировщик,APPROVED_STRUCTURE,
CAPEX.BLD.005,,BLD-05,Перегородки и двери,CAPEX,Строительство,1,объект,Разделение чистых и грязных потоков,по ВОР,—,—,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,,V-I-040,Проектировщик,APPROVED_STRUCTURE,
CAPEX.BLD.006,,BLD-06,Отделка зала КАФЕ,CAPEX,Строительство,1,объект,По утверждённому дизайну,по ВОР,—,—,CAFE,D01_DIRECT,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BLD.007,,BLD-07,Отделка банкетной зоны,CAPEX,Строительство,1,объект,По утверждённой рассадке,по ВОР,—,—,BANQUETS,D01_DIRECT,ENGINEERED,,1,0,,,NOT_REQUESTED,,V-I-092,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BLD.008,,BLD-08,Отделка бара,CAPEX,Строительство,1,объект,После утверждения барной программы,по ВОР,—,—,BAR,D01_DIRECT,DATA_REQUIRED,,,0,,,NOT_REQUESTED,,V-I-084,Бар,APPROVED_STRUCTURE,
CAPEX.BLD.009,,BLD-09,Производственная санитарная отделка,CAPEX,Строительство,1,объект,"Кухня, склад, мойка",по ВОР,—,—,SHARED,D04_MACHINE_HOURS,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.001,,ENG-01,Увеличение присоединённой мощности,CAPEX,Инженерия,1,система,Проверка 100/125/150 кВт,по проекту,E3,по ТУ,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,,V-I-038;V-I-039,Арендодатель / Инженерия,APPROVED_STRUCTURE,
CAPEX.ENG.002,,ENG-02,Вводной автомат и распределительные щиты,CAPEX,Инженерия,1,комплект,По утверждённой мощности,по проекту,E3,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.003,,ENG-03,Силовые линии оборудования,CAPEX,Инженерия,1,комплект,Отдельные линии критических потребителей,по проекту,E1/E3,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.004,,ENG-04,Рабочее и аварийное освещение,CAPEX,Инженерия,1,комплект,По нормируемой освещённости,по проекту,E1,по проекту,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.005,,ENG-05,Заземление и защита,CAPEX,Инженерия,1,комплект,Протокол электролаборатории,по проекту,E3,по проекту,SHARED,D13_DIRECT_COST,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.006,,ENG-06,Система управления электрической нагрузкой,CAPEX,Инженерия,1,комплект,Только некритичные потребители,по проекту,E3/LAN,по проекту,SHARED,D03_AVOIDABLE,CONDITIONAL,GATE-ENG-06,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.007,,ENG-07,Приточная вентиляция,CAPEX,Инженерия,1,система,По тепловому и воздушному балансу,по проекту,E3/V,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.008,HP-08,ENG-08,Вытяжная вентиляция и зонты,CAPEX,Инженерия,1,система,"Горячая линия, WOK, печи, мойка",по проекту,E3/V,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.009,,ENG-09,Воздуховоды и противопожарные клапаны,CAPEX,Инженерия,1,комплект,По проекту вентиляции,по проекту,V,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.010,,ENG-10,Кондиционирование,CAPEX,Инженерия,1,система,По теплопритокам,по проекту,E3,по проекту,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.011,,ENG-11,Холодная и горячая вода,CAPEX,Инженерия,1,комплект,Все технологические точки,по проекту,W,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.012,,ENG-12,Канализация,CAPEX,Инженерия,1,комплект,Все технологические точки,по проекту,D,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.013,,ENG-13,Жироуловитель,CAPEX,Инженерия,1,шт.,По расходу воды и стоков,по проекту,W/D,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.014,,ENG-14,Водоподготовка,CAPEX,Инженерия,1,система,"Мойка, печи, бар",по проекту,W/D/E1,по проекту,SHARED,D05_CAPACITY,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.ENG.015,,ENG-15,Пожарная сигнализация и автоматика,CAPEX,Инженерия,1,система,По пожарному проекту,по проекту,E1/LAN,по проекту,SHARED,D02_AREA,ENGINEERED,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.001,ST-05,STO-01,Стол и весы приёмки,CAPEX,Хранение,1,комплект,Приёмка и контроль массы,1200×700,E1,900 фронт,SHARED,D11_CONSUMPTION,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.002,ST-03,STO-02,Морозильник рыбы и креветок,CAPEX,Хранение,1,шт.,360–400 полезных л,700×800×2050,E1,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-042,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.003,ST-03;PB-08,STO-03,Морозильник прочей продукции,CAPEX,Хранение,1,шт.,Раздельный контур,700×800×2050,E1,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,,V-I-042,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.004,ST-02,STO-04,Холодильный контур сырой говядины,CAPEX,Хранение,1,контур,Раздельное хранение,до 700×800×2050,E1,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.005,ST-02,STO-05,Шкаф контролируемого размораживания,CAPEX,Хранение,1,шт.,Суточная потребность +20%,до 750×850×2100,E1;D при необходимости,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.006,ST-02,STO-06,Молочная и готовая продукция,CAPEX,Хранение,1,контур,400–500 полезных л,700×800×2050,E1,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.007,ST-02,STO-07,Овощи и зелень,CAPEX,Хранение,1,контур,Не менее 500 полезных л,750×850×2050,E1,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.008,,STO-08,Холодная ферментация теста,CAPEX,Хранение,2,секции,Всего ≥30 позиций 600×400,2×(800×1000×2100),E1,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,2,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.009,ST-02,STO-09,Кондитерское хранение,CAPEX,Хранение,1,контур,Противни и изделия,до 700×800×2050,E1,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.010,ST-02,STO-10,Готовые полуфабрикаты,CAPEX,Хранение,1,контур,Раздельное хранение,до 700×800×2050,E1,900 фронт,SHARED,D06_STORAGE,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.011,ST-01,STO-11,Стеллажи сухого склада,CAPEX,Хранение,1,комплект,"254,458 кг при заполнении ≤70%",глубина 500–600,—,проход 900,SHARED,D11_CONSUMPTION,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.012,ST-01,STO-12,Подтоварники,CAPEX,Хранение,1,комплект,По планировке,по проекту,—,проход 900,SHARED,D11_CONSUMPTION,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.STO.013,PB-06,STO-13,Дополнительные холодильные модули,CAPEX,Хранение,1,комплект,После расчёта заполнения,по проекту,E1,по паспорту,SHARED,D03_AVOIDABLE,CONDITIONAL,GATE-STO-13,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.001,HP-05,HOT-01,Пароконвектомат,CAPEX,Горячий участок,1,шт.,Минимум 6×GN 1/1; программы; термощуп,до 1000×1000×1900,E3/W/D/V,1200 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.002,HP-03,HOT-02,Двухзонный теппан,CAPEX,Горячий участок,1,шт.,≥16 мясных изделий/час,около 800×700×900,E3/EXH,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.003,HP-04,HOT-03,WOK-пост,CAPEX,Горячий участок,1,шт.,≥5 порций/час,600–800×800×900,E3/W/D/EXH,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.004,,HOT-04,Второй WOK-пост,CAPEX,Горячий участок,1,шт.,Тот же технологический стандарт,по проекту,E3/W/D/EXH,1000 фронт,SHARED,D03_AVOIDABLE,CONDITIONAL,GATE-HOT-04,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.005,HP-01,HOT-05A,Индукционная плита 4 зоны,CAPEX,Горячий участок,1,шт.,4 зоны,около 800×700×900,E3/EXH,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.006,HP-02,HOT-05B,Индукционная плита 2 зоны,CAPEX,Горячий участок,1,шт.,2 зоны,около 400×700×900,E1/E3/EXH,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.007,,HOT-06,Рисоварка,CAPEX,Горячий участок,1,шт.,≥20 порций по 150 г/цикл,до 600×600×500,E1,700 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.008,HP-06,HOT-07,Холодильный стол горячего участка,CAPEX,Горячий участок,1,шт.,Оперативный сменный запас,1200–1800×700×850,E1,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.009,HP-07,HOT-08,Мясорубка,CAPEX,Горячий участок,1,шт.,Профессиональная,до 500×500×600,E1/E3,700 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.010,,HOT-09,Шкаф интенсивного охлаждения,CAPEX,Горячий участок,1,шт.,≥10 кг/цикл,до 800×850×1200,E1/E3/D,900 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.011,,HOT-10,Увеличенный blast chiller,CAPEX,Горячий участок,1,шт.,Более 10 кг/цикл,по проекту,E3/D,по паспорту,BANQUETS,D03_AVOIDABLE,CONDITIONAL,GATE-HOT-10,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.012,,HOT-11,Третья тепловая камера,CAPEX,Горячий участок,1,шт.,Независимый режим,по проекту,E3/W/D/V,1200 фронт,BANQUETS,D03_AVOIDABLE,CONDITIONAL,GATE-HOT-11,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.013,CP-02,HOT-12,Столы и полки горячего участка,CAPEX,Горячий участок,1,комплект,По планировке,глубина 700,—,проход 1000,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.014,ST-04;SD-01;UT-02,HOT-13,"GN, противни и горячий инвентарь",CAPEX,Горячий участок,1,комплект,Совместимость с печами,по ведомости,—,стеллажное хранение,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.015,SD-02,HOT-14,Фритюрница,CAPEX,Горячий участок,0,шт.,Исключена,—,—,—,SHARED,D03_AVOIDABLE,EXCLUDED,,0,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.HOT.016,UT-01,HOT-15,Рукомойник горячего участка,CAPEX,Горячий участок,1,шт.,Отдельный,400×400,W/D,800 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.001,PB-04,BAK-01,Печь для пиццы,CAPEX,"Пицца, хлеб, десерты",1,шт.,4–6 пицц до 33 см; ≥400°C; 20–25/час,1300–1700×1300–1700,E3/V,1200 фронт,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.002,PB-01,BAK-02,Пекарская печь,CAPEX,"Пицца, хлеб, десерты",1,шт.,6×600×400; программирование; пар,до 1000×1100×1900,E3/W/D/V,1200 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.003,PB-03,BAK-03,Спиральный тестомес,CAPEX,"Пицца, хлеб, десерты",1,шт.,Рабочий диапазон 2–25 кг,600–750×800–1000,E1/E3,800 вокруг чаши,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.004,,BAK-04,Планетарный миксер,CAPEX,"Пицца, хлеб, десерты",1,шт.,10–20 л,500–700×700–900,E1/E3,800 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.005,PB-02,BAK-05,Программируемый расстоечный шкаф,CAPEX,"Пицца, хлеб, десерты",1,шт.,12–16 противней 600×400,800–1000×1000×2100,E1/E3/W/D,1000 фронт,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.006,,BAK-06,Мобильный стеллаж охлаждения,CAPEX,"Пицца, хлеб, десерты",1,шт.,16–20 противней,около 500×700×1800,—,800 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.007,,BAK-07,Кондитерские формы и инвентарь,CAPEX,"Пицца, хлеб, десерты",1,комплект,"Торт, кростата, мадлены",по ведомости,—,стеллажное хранение,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.008,,BAK-08,Вторая пекарская печь,CAPEX,"Пицца, хлеб, десерты",1,шт.,6×600×400 или эквивалент,по проекту,E3/W/D/V,1200 фронт,BANQUETS,D03_AVOIDABLE,CONDITIONAL,GATE-BAK-08,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.009,CP-04,BAK-09,Тестораскатка,CAPEX,"Пицца, хлеб, десерты",1,шт.,После хронометража,по проекту,E1/E3,по паспорту,SHARED,D03_AVOIDABLE,CONDITIONAL,GATE-BAK-09,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.010,,BAK-10,Автоматический делитель,CAPEX,"Пицца, хлеб, десерты",0,шт.,Исключён,—,—,—,SHARED,D03_AVOIDABLE,EXCLUDED,,0,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.011,,BAK-11,Округлитель,CAPEX,"Пицца, хлеб, десерты",0,шт.,Исключён,—,—,—,SHARED,D03_AVOIDABLE,EXCLUDED,,0,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.012,PB-05,BAK-12,Холодильный пицца-стол,CAPEX,"Пицца, хлеб, десерты",1,шт.,Стол и надстройка ингредиентов,1500–2000×800×1400,E1,1100 фронт,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.013,PB-07,BAK-13,Закрытое хранение коробок,CAPEX,"Пицца, хлеб, десерты",1,секция,Защита упаковки,глубина 500–600,—,проход 800,CAFE,D01_DIRECT,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.014,UT-01,BAK-14,Рукомойник пекарского участка,CAPEX,"Пицца, хлеб, десерты",1,шт.,Отдельный,400×400,W/D,800 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.BAK.015,,BAK-15,Хлеборезка,CAPEX,"Пицца, хлеб, десерты",0,шт.,Исключена,—,—,—,SHARED,D03_AVOIDABLE,EXCLUDED,,0,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.001,CP-01,CLD-01,Трёхдверный холодильный стол,CAPEX,Холодный участок,1,шт.,≥270 полезных л,1700–1900×700×850,E1,1100 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.002,AP-01,CLD-02,Охлаждаемая надстройка,CAPEX,Холодный участок,1,шт.,≥12 GN 1/3,по ширине стола,E1,рабочий доступ,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.003,CP-02,CLD-03,Вторая рабочая поверхность,CAPEX,Холодный участок,1,шт.,≥1200×700,1200×700×850,—,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.004,CP-03,CLD-04,Двухсекционная ванна продуктов,CAPEX,Холодный участок,1,шт.,Отдельно от мойки инвентаря,1200–1500×700×850,W/D,1000 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.005,UT-01,CLD-05,Рукомойник холодного участка,CAPEX,Холодный участок,1,шт.,Отдельный,400×400,W/D,800 фронт,SHARED,D04_MACHINE_HOURS,MANDATORY,,1,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.006,ST-04,CLD-06,GN с крышками,CAPEX,Холодный участок,20,шт.,Не менее 20,по форматам,—,стеллажное хранение,SHARED,D04_MACHINE_HOURS,MANDATORY,,20,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.007,AP-02;ST-05,CLD-07,"Весы, ножи, доски холодного участка",CAPEX,Холодный участок,2,комплекта,Две рабочие позиции,—,E1 для весов,две позиции,SHARED,D04_MACHINE_HOURS,MANDATORY,,2,0,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
CAPEX.CLD.008,CP-04,CLD-08,Слайсер,CAPEX,Холодный участок,1,шт.,После хронометража,по проекту,E1/E3,по паспорту,SHARED,D03_AVOIDABLE,CONDITIONAL,GATE-CLD-08,0,1,,,NOT_REQUESTED,APPROVED_SESSION_2026-07-28,,Центр инвестиций,APPROVED_STRUCTURE,
